prime_recipient,award_amount,sub_recipient,address1,address2,address3,city,state,zip,county,district,award_number,award_type,award_description,sub_award,spent_to_date,project_description,project_status,spending_category,category_description
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,ALEUTIANS EAST BOROUGH,PO BOX 349,,,Sand Point,AK,99661-0349,AK-ALEUTIANS EAST,AK00,20-CRF-009,GRANT,Community assistance grant.,3723853.74,567614.46,,,"Economic Support (Other than Small Business, Housing, and Food Assistance)",
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,ALEUTIANS EAST BOROUGH,PO BOX 349,,,Sand Point,AK,99661-0349,AK-ALEUTIANS EAST,AK00,20-CRF-009,GRANT,Community assistance grant.,3723853.74,53188.38,,,Administrative Expenses,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,ALEUTIANS EAST BOROUGH,PO BOX 349,,,Sand Point,AK,99661-0349,AK-ALEUTIANS EAST,AK00,20-CRF-009,GRANT,Community assistance grant.,3723853.74,750.0,,,COVID-19 Testing and Contact Tracing,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,ALEUTIANS EAST BOROUGH,PO BOX 349,,,Sand Point,AK,99661-0349,AK-ALEUTIANS EAST,AK00,20-CRF-009,GRANT,Community assistance grant.,3723853.74,8798.97,,,Improve Telework Capabilities of Public Employees,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,ALEUTIANS EAST BOROUGH,PO BOX 349,,,Sand Point,AK,99661-0349,AK-ALEUTIANS EAST,AK00,20-CRF-009,GRANT,Community assistance grant.,3723853.74,311352.53,,,Items Not Listed Above,Project cost increases resulting from COVID-19
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,ALEUTIANS EAST BOROUGH,PO BOX 349,,,Sand Point,AK,99661-0349,AK-ALEUTIANS EAST,AK00,20-CRF-009,GRANT,Community assistance grant.,3723853.74,900347.32,,,Food Programs,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,ALEUTIANS EAST BOROUGH,PO BOX 349,,,Sand Point,AK,99661-0349,AK-ALEUTIANS EAST,AK00,20-CRF-009,GRANT,Community assistance grant.,3723853.74,195413.45,,,Budgeted Personnel and Services Diverted to a Substantially Different Use,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,ALEUTIANS EAST BOROUGH,PO BOX 349,,,Sand Point,AK,99661-0349,AK-ALEUTIANS EAST,AK00,20-CRF-009,GRANT,Community assistance grant.,3723853.74,36585.65,"State of Alaska COVID-19 Direct Municipal Relief Program through the Department of Commerce, Community, and Economic Development",Completed 50% or more,Administrative Expenses,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,ALEXANDER LOPEZ FISHERIES CORPORATION,PO BOX 1648,,,Valdez,AK,99686-1648,,,203780,GRANT,"AK CARES grants are for the payment of eligible expenses for COVID-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",100000.0,100000.0,"State of Alaska COVID-19 Small Business Relief through the Department of Commerce, Community, and Economic Development and the Alaska Industrial Development and Export Authority",Fully completed,Small Business Assistance,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,ALEXANDER LOPEZ FISHERIES CORPORATION,PO BOX 1648,,,Valdez,AK,99686-1648,,,203780,GRANT,"AK CARES grants are for the payment of eligible expenses for COVID-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",100000.0,0.0,,,,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,ALEXEI RAYVON M. OLEYER,PO BOX 90309,,,Anchorage,AK,99509-0309,AK-ANCHORAGE,AK00,205257,GRANT,"AK CARES grants are for the payment of eligible expenses for COVID-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",86023.41,0.0,,,,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,ALEXEI RAYVON M. OLEYER,PO BOX 90309,,,Anchorage,AK,99509-0309,AK-ANCHORAGE,AK00,205257,GRANT,"AK CARES grants are for the payment of eligible expenses for COVID-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",86023.41,86023.41,"State of Alaska COVID-19 Small Business Relief through the Department of Commerce, Community, and Economic Development and the Alaska Industrial Development and Export Authority",Fully completed,Small Business Assistance,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"ALFA, LLC",35433 Kenai Spur Hwy,,,Soldotna,AK,99669-7625,AK-KENAI PENINSULA,AK00,200669,GRANT,"AK CARES grants are for the payment of eligible expenses for COVID-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",90214.29,0.0,,,,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"ALFA, LLC",35433 Kenai Spur Hwy,,,Soldotna,AK,99669-7625,AK-KENAI PENINSULA,AK00,200669,GRANT,"AK CARES grants are for the payment of eligible expenses for COVID-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",90214.29,90214.29,"State of Alaska COVID-19 Small Business Relief through the Department of Commerce, Community, and Economic Development and the Alaska Industrial Development and Export Authority",Fully completed,Small Business Assistance,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,ALFRED B CRATTY IV,3510 Eds Way,,,Kodiak,AK,99615-7167,AK-KODIAK ISLAND,AK00,200765,GRANT,"AK CARES grants are for the payment of eligible expenses for Covid-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",79988.05,79988.05,"State of Alaska COVID-19 Small Business Relief through the Department of Commerce, Community, and Economic Development and the Alaska Industrial Development and Export Authority",Fully completed,Small Business Assistance,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,ALL SEASONS PLUMBING & HEATING LLC,55156 Saber Ave E,,,Fritz Creek,AK,99603-9508,AK-KENAI PENINSULA,AK00,202021,GRANT,"AK CARES grants are for the payment of eligible expenses for Covid-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",100000.0,100000.0,"State of Alaska COVID-19 Small Business Relief through the Department of Commerce, Community, and Economic Development and the Alaska Industrial Development and Export Authority",Fully completed,Small Business Assistance,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,ALL SEASONS SNOW REMOVAL AND LAWN CARE,2120 Jarvis Ave,,,Anchorage,AK,99515-4049,AK-ANCHORAGE,AK00,200619,GRANT,"AK CARES grants are for the payment of eligible expenses for COVID-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",53996.88,0.0,,,,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,ALL SEASONS SNOW REMOVAL AND LAWN CARE,2120 Jarvis Ave,,,Anchorage,AK,99515-4049,AK-ANCHORAGE,AK00,200619,GRANT,"AK CARES grants are for the payment of eligible expenses for COVID-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",53996.88,53996.88,"State of Alaska COVID-19 Small Business Relief through the Department of Commerce, Community, and Economic Development and the Alaska Industrial Development and Export Authority",Fully completed,Small Business Assistance,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"ALLAKAKET, CITY OF",PO BOX 30,,,Allakaket,AK,99720-0030,AK-YUKON-KOYUKUK,AK00,20-CRF-010,GRANT,Community assistance grant.,128544.68,0.0,,,Select,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"ALLAKAKET, CITY OF",PO BOX 30,,,Allakaket,AK,99720-0030,AK-YUKON-KOYUKUK,AK00,20-CRF-010,GRANT,Community assistance grant.,128544.68,35000.0,,,Food Programs,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"ALLAKAKET, CITY OF",PO BOX 30,,,Allakaket,AK,99720-0030,AK-YUKON-KOYUKUK,AK00,20-CRF-010,GRANT,Community assistance grant.,128544.68,33750.0,,,"Economic Support (Other than Small Business, Housing, and Food Assistance)",
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"ALLAKAKET, CITY OF",PO BOX 30,,,Allakaket,AK,99720-0030,AK-YUKON-KOYUKUK,AK00,20-CRF-010,GRANT,Community assistance grant.,128544.68,2100.0,,,Administrative Expenses,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"ALLAKAKET, CITY OF",PO BOX 30,,,Allakaket,AK,99720-0030,AK-YUKON-KOYUKUK,AK00,20-CRF-010,GRANT,Community assistance grant.,128544.68,0.0,"State of Alaska COVID-19 Direct Municipal Relief Program through the Department of Commerce, Community, and Economic Development",Completed 50% or more,Select,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,ALLEN FISHERIES,PO BOX 984,,,Valdez,AK,99686-0984,,,200609,GRANT,"AK CARES grants are for the payment of eligible expenses for Covid-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",100000.0,100000.0,"State of Alaska COVID-19 Small Business Relief through the Department of Commerce, Community, and Economic Development and the Alaska Industrial Development and Export Authority",Fully completed,Small Business Assistance,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,ALTA PEARL FISHERIES,PO BOX 2328,,,Cordova,AK,99574-2328,AK-VALDEZ CORDOVA,AK00,202167,GRANT,"AK CARES grants are for the payment of eligible expenses for Covid-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",75698.54,75698.54,"State of Alaska COVID-19 Small Business Relief through the Department of Commerce, Community, and Economic Development and the Alaska Industrial Development and Export Authority",Fully completed,Small Business Assistance,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,ALTAIR INTEGRATIVE WELLNESS INC.,3161 E Palmer Wasilla Hwy Ste 1C,,,Wasilla,AK,99654-7271,AK-MATANUSKA-SUSITNA,AK00,200137,GRANT,"AK CARES grants are for the payment of eligible expenses for COVID-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",95891.5,0.0,,,,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,ALTAIR INTEGRATIVE WELLNESS INC.,3161 E Palmer Wasilla Hwy Ste 1C,,,Wasilla,AK,99654-7271,AK-MATANUSKA-SUSITNA,AK00,200137,GRANT,"AK CARES grants are for the payment of eligible expenses for COVID-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",95891.5,95891.5,"State of Alaska COVID-19 Small Business Relief through the Department of Commerce, Community, and Economic Development and the Alaska Industrial Development and Export Authority",Fully completed,Small Business Assistance,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,ALYESKA CANINE TRAINER OF SOUTH ANCHORAGE INC,549 W Intl Airport Rd Ste A15,,,Anchorage,AK,99518-1166,AK-ANCHORAGE,AK00,201055,GRANT,"AK CARES grants are for the payment of eligible expenses for Covid-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",50115.45,-0.02,,,Small Business Assistance,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,ALYESKA CANINE TRAINER OF SOUTH ANCHORAGE INC,549 W Intl Airport Rd Ste A15,,,Anchorage,AK,99518-1166,AK-ANCHORAGE,AK00,201055,GRANT,"AK CARES grants are for the payment of eligible expenses for Covid-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",50115.45,50115.47,"State of Alaska COVID-19 Small Business Relief through the Department of Commerce, Community, and Economic Development and the Alaska Industrial Development and Export Authority",Fully completed,Small Business Assistance,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"ALYESKA ELECTRONICS, LLC",3309 Spenard Rd,,,Anchorage,AK,99503-3707,AK-ANCHORAGE,AK00,202678,GRANT,"AK CARES grants are for the payment of eligible expenses for COVID-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",100000.0,0.0,,,,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"ALYESKA ELECTRONICS, LLC",3309 Spenard Rd,,,Anchorage,AK,99503-3707,AK-ANCHORAGE,AK00,202678,GRANT,"AK CARES grants are for the payment of eligible expenses for COVID-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",100000.0,100000.0,"State of Alaska COVID-19 Small Business Relief through the Department of Commerce, Community, and Economic Development and the Alaska Industrial Development and Export Authority",Fully completed,Small Business Assistance,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,ALYESKA FARMS LLC,PO BOX 1627,,,Soldotna,AK,99669-1627,AK-KENAI PENINSULA,AK00,203136,GRANT,"AK CARES grants are for the payment of eligible expenses for COVID-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",84732.21,0.0,,,,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,ALYESKA FARMS LLC,PO BOX 1627,,,Soldotna,AK,99669-1627,AK-KENAI PENINSULA,AK00,203136,GRANT,"AK CARES grants are for the payment of eligible expenses for COVID-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",84732.21,84732.21,"State of Alaska COVID-19 Small Business Relief through the Department of Commerce, Community, and Economic Development and the Alaska Industrial Development and Export Authority",Fully completed,Small Business Assistance,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,AMANDA HENDERSON & DWAINE HENDERSON,297 W 5th Ave,,,North Pole,AK,99705-7832,AK-FAIRBANKS NORTH STAR,AK00,,DIRECT,,109645.0,0.0,,,"Economic Support (Other than Small Business, Housing, and Food Assistance)",
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,AMANDA HENDERSON & DWAINE HENDERSON,297 W 5th Ave,,,North Pole,AK,99705-7832,AK-FAIRBANKS NORTH STAR,AK00,,DIRECT,,109645.0,52045.0,State of Alaska Other COVID-19 Support through the Department of Health and Social Services,Not started,"Economic Support (Other than Small Business, Housing, and Food Assistance)",
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,AMANDA HENDERSON & DWAINE HENDERSON,297 W 5th Ave,,,North Pole,AK,99705-7832,AK-FAIRBANKS NORTH STAR,AK00,,DIRECT,,109645.0,57600.0,State of Alaska Other COVID-19 Support through the Department of Health and Social Services,Fully completed,"Economic Support (Other than Small Business, Housing, and Food Assistance)",
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,AMBER LUKIN J FLOAT FISHERIES LLC,PO BOX 1292,,,Cordova,AK,99574-1292,AK-VALDEZ CORDOVA,AK00,203445,GRANT,"AK CARES grants are for the payment of eligible expenses for COVID-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",100000.0,100000.0,"State of Alaska COVID-19 Small Business Relief through the Department of Commerce, Community, and Economic Development and the Alaska Industrial Development and Export Authority",Fully completed,Small Business Assistance,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,AMBER LUKIN J FLOAT FISHERIES LLC,PO BOX 1292,,,Cordova,AK,99574-1292,AK-VALDEZ CORDOVA,AK00,203445,GRANT,"AK CARES grants are for the payment of eligible expenses for COVID-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",100000.0,0.0,,,,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"AMBLER, CITY OF",PO BOX 9,,,Ambler,AK,99786-0009,AK-NORTHWEST ARCTIC,AK00,20-CRF-011,GRANT,Community assistance grant.,191869.18,24393.94,,,Food Programs,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"AMBLER, CITY OF",PO BOX 9,,,Ambler,AK,99786-0009,AK-NORTHWEST ARCTIC,AK00,20-CRF-011,GRANT,Community assistance grant.,191869.18,6349.75,,,Housing Support,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"AMBLER, CITY OF",PO BOX 9,,,Ambler,AK,99786-0009,AK-NORTHWEST ARCTIC,AK00,20-CRF-011,GRANT,Community assistance grant.,191869.18,87576.89,,,Public Health Expenses,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"AMBLER, CITY OF",PO BOX 9,,,Ambler,AK,99786-0009,AK-NORTHWEST ARCTIC,AK00,20-CRF-011,GRANT,Community assistance grant.,191869.18,29858.55,,,Administrative Expenses,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"AMBLER, CITY OF",PO BOX 9,,,Ambler,AK,99786-0009,AK-NORTHWEST ARCTIC,AK00,20-CRF-011,GRANT,Community assistance grant.,191869.18,0.0,,,Select,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"AMBLER, CITY OF",PO BOX 9,,,Ambler,AK,99786-0009,AK-NORTHWEST ARCTIC,AK00,20-CRF-011,GRANT,Community assistance grant.,191869.18,1962.5,,,"Economic Support (Other than Small Business, Housing, and Food Assistance)",
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"AMBLER, CITY OF",PO BOX 9,,,Ambler,AK,99786-0009,AK-NORTHWEST ARCTIC,AK00,20-CRF-011,GRANT,Community assistance grant.,191869.18,23023.1,,,Payroll for Public Health and Safety Employees,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"AMBLER, CITY OF",PO BOX 9,,,Ambler,AK,99786-0009,AK-NORTHWEST ARCTIC,AK00,20-CRF-011,GRANT,Community assistance grant.,191869.18,5767.5,"State of Alaska COVID-19 Direct Municipal Relief Program through the Department of Commerce, Community, and Economic Development",Completed 50% or more,Budgeted Personnel and Services Diverted to a Substantially Different Use,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,AMY RAE LLC,PO BOX 2394,,,Cordova,AK,99574-2394,AK-VALDEZ CORDOVA,AK00,203567,GRANT,"AK CARES grants are for the payment of eligible expenses for COVID-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",100000.0,100000.0,"State of Alaska COVID-19 Small Business Relief through the Department of Commerce, Community, and Economic Development and the Alaska Industrial Development and Export Authority",Fully completed,Small Business Assistance,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,AMY RAE LLC,PO BOX 2394,,,Cordova,AK,99574-2394,AK-VALDEZ CORDOVA,AK00,203567,GRANT,"AK CARES grants are for the payment of eligible expenses for COVID-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",100000.0,0.0,,,,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"ANAKTUVUK PASS, CITY OF",PO BOX 21030,,,Anaktuvuk Pass,AK,99721-0030,AK-NORTH SLOPE,AK00,20-CRF-012,GRANT,Community assistance grant.,199515.96,190909.14,,,Administrative Expenses,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"ANAKTUVUK PASS, CITY OF",PO BOX 21030,,,Anaktuvuk Pass,AK,99721-0030,AK-NORTH SLOPE,AK00,20-CRF-012,GRANT,Community assistance grant.,199515.96,-3735.03,,,Items Not Listed Above,Public Health expenses moved to appropriate category
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"ANAKTUVUK PASS, CITY OF",PO BOX 21030,,,Anaktuvuk Pass,AK,99721-0030,AK-NORTH SLOPE,AK00,20-CRF-012,GRANT,Community assistance grant.,199515.96,500.0,,,"Economic Support (Other than Small Business, Housing, and Food Assistance)",
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"ANAKTUVUK PASS, CITY OF",PO BOX 21030,,,Anaktuvuk Pass,AK,99721-0030,AK-NORTH SLOPE,AK00,20-CRF-012,GRANT,Community assistance grant.,199515.96,3437.3,,,Improve Telework Capabilities of Public Employees,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"ANAKTUVUK PASS, CITY OF",PO BOX 21030,,,Anaktuvuk Pass,AK,99721-0030,AK-NORTH SLOPE,AK00,20-CRF-012,GRANT,Community assistance grant.,199515.96,3735.03,,,Public Health Expenses,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"ANAKTUVUK PASS, CITY OF",PO BOX 21030,,,Anaktuvuk Pass,AK,99721-0030,AK-NORTH SLOPE,AK00,20-CRF-012,GRANT,Community assistance grant.,199515.96,4669.52,,,Items Not Listed Above,Other Community COVID-19 Expenses
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"ANAKTUVUK PASS, CITY OF",PO BOX 21030,,,Anaktuvuk Pass,AK,99721-0030,AK-NORTH SLOPE,AK00,20-CRF-012,GRANT,Community assistance grant.,199515.96,0.0,"State of Alaska COVID-19 Direct Municipal Relief Program through the Department of Commerce, Community, and Economic Development",Completed 50% or more,Select,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,ANASTACIO OVCHINNIKOV,PO BOX 875663,,,Wasilla,AK,99687-5663,AK-MATANUSKA-SUSITNA,AK00,204249,GRANT,"AK CARES grants are for the payment of eligible expenses for COVID-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",82805.2,0.0,,,,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,ANASTACIO OVCHINNIKOV,PO BOX 875663,,,Wasilla,AK,99687-5663,AK-MATANUSKA-SUSITNA,AK00,204249,GRANT,"AK CARES grants are for the payment of eligible expenses for COVID-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",82805.2,82805.2,"State of Alaska COVID-19 Small Business Relief through the Department of Commerce, Community, and Economic Development and the Alaska Industrial Development and Export Authority",Fully completed,Small Business Assistance,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,ANCHORAGE BAPTIST TEMPLE,6575 E Northern Lights Blvd,,,Anchorage,AK,99504-3384,AK-ANCHORAGE,AK00,,DIRECT,,178000.0,0.0,,,"Economic Support (Other than Small Business, Housing, and Food Assistance)",
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,ANCHORAGE BAPTIST TEMPLE,6575 E Northern Lights Blvd,,,Anchorage,AK,99504-3384,AK-ANCHORAGE,AK00,,DIRECT,,178000.0,178000.0,State of Alaska Other COVID-19 Support through the Department of Health and Social Services,Fully completed,"Economic Support (Other than Small Business, Housing, and Food Assistance)",
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,ANCHORAGE BAPTIST TEMPLE,6575 E Northern Lights Blvd,,,Anchorage,AK,99504-3384,AK-ANCHORAGE,AK00,,DIRECT,,178000.0,0.0,State of Alaska Other COVID-19 Support through the Department of Health and Social Services,Not started,Select,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,ANCHORAGE BUCS BASEBALL CLUB INC,435 W 10th Ave Ste B,,,Anchorage,AK,99501-3556,AK-ANCHORAGE,AK00,605-236-21001,GRANT,Get Active Alaska Grant 605-236-21001,50000.00005,50000.0,State of Alaska Other COVID-19 Support through the Department of Health and Social Services,Fully completed,"Economic Support (Other than Small Business, Housing, and Food Assistance)",
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,ANCHORAGE CHAMBER OF COMMERCE,1016 W 6th Ave Ste 303,,,Anchorage,AK,99501-1963,AK-ANCHORAGE,AK00,200183,GRANT,"AK CARES grants are for the payment of eligible expenses for Covid-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",100000.0,100000.0,"State of Alaska COVID-19 Small Business Relief through the Department of Commerce, Community, and Economic Development and the Alaska Industrial Development and Export Authority",Fully completed,Small Business Assistance,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,ANCHORAGE COMMUNITY YMCA,5353 Lake Otis Pkwy,,,Anchorage,AK,99507-1709,AK-ANCHORAGE,AK00,,DIRECT,,504000.0,504000.0,,,"Economic Support (Other than Small Business, Housing, and Food Assistance)",
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,ANCHORAGE COMMUNITY YMCA,5353 Lake Otis Pkwy,,,Anchorage,AK,99507-1709,AK-ANCHORAGE,AK00,,DIRECT,,504000.0,504000.0,State of Alaska Other COVID-19 Support through the Department of Health and Social Services,Fully completed,"Economic Support (Other than Small Business, Housing, and Food Assistance)",
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,ANCHORAGE COMMUNITY YMCA,5353 Lake Otis Pkwy,,,Anchorage,AK,99507-1709,AK-ANCHORAGE,AK00,,DIRECT,,504000.0,-504000.0,State of Alaska Other COVID-19 Support through the Department of Health and Social Services,Not started,"Economic Support (Other than Small Business, Housing, and Food Assistance)",
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"ANCHORAGE GLACIER PILOTS, INC.",435 W 10th Ave Ste A,,,Anchorage,AK,99501-3556,AK-ANCHORAGE,AK00,201870,GRANT,"AK CARES grants are for the payment of eligible expenses for COVID-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",92139.44,0.0,,,,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"ANCHORAGE GLACIER PILOTS, INC.",435 W 10th Ave Ste A,,,Anchorage,AK,99501-3556,AK-ANCHORAGE,AK00,201870,GRANT,"AK CARES grants are for the payment of eligible expenses for COVID-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",92139.44,92139.44,"State of Alaska COVID-19 Small Business Relief through the Department of Commerce, Community, and Economic Development and the Alaska Industrial Development and Export Authority",Fully completed,Small Business Assistance,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,ANCHORAGE GYMNASTICS ASSOCIATION,525 W Potter Dr # 4,,,Anchorage,AK,99518-1146,AK-ANCHORAGE,AK00,,DIRECT,,120000.0,60000.0,State of Alaska Other COVID-19 Support through the Department of Health and Social Services,Fully completed,"Economic Support (Other than Small Business, Housing, and Food Assistance)",
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,ANCHORAGE GYMNASTICS ASSOCIATION,525 W Potter Dr # 4,,,Anchorage,AK,99518-1146,AK-ANCHORAGE,AK00,,DIRECT,,120000.0,0.0,,,"Economic Support (Other than Small Business, Housing, and Food Assistance)",
