State,Prime recipient,Prime recipient amount,Number of sub-recipients,Sub-award amount
LA,TUNICA-BILOXI TRIBE OF LOUISIANA,13873949.2,10,13873949.200072804
TX,KICKAPOO TRADITIONAL TRIBE OF TEXAS,13828011.64,11,13828011.640024731
NM,PUEBLO OF SANDIA,13701203.93,12,13701203.930000002
SD,YANKTON SIOUX TRIBE,13675271.8,1,13675271.8
CA,SOBOBA BAND OF LUISENO INDIANS,13567193.24,1,13567193.24
ID,THE COEUR D'ALENE TRIBE,13533104.5,7,13466226.490049515
CA,LYTTON RANCHERIA OF CALIFORNIA,13531932.43,2,5913120.0
AK,UKPEAGVIK INUPIAT CORPORATION,13462363.58,1,13462363.58
OK,KICKAPOO TRIBE OF OKLAHOMA,13400820.54,23,13400820.5401781
WA,KALISPEL INDIAN COMMUNITY OF THE KALISPEL RESERVATION,13388539.41,16,13388539.410090728
NV,WASHOE TRIBE OF NEVADA & CALIFORNIA,13233609.84,8,12484661.160141485
CA,VIEJAS BAND OF KUMEYAAY INDIANS,13223586.9,4,13223586.9
OK,QUAPAW NATION,13124254.8,12,13124254.8
OK,WYANDOTTE NATION,12965472.81,1,12559197.7
MI,MATCH-E-BE-NASH-SHE-WISH BAND OF POTTAWATOMI INDIANS,12897590.59,5,12897590.590039704
NM,OHKAY OWINGEH TRIBAL COUNCIL,12837838.14,7,12837838.140021866
CA,SANTA ROSA INDIAN COMMUNITY OF THE SANTA ROSA RANCHERIA,12744270.88,9,12744270.000068557
AZ,FT MC DOWELL YAVAPAI NATION,12527171.8,6,12254318.32002699
NE,OMAHA TRIBE OF NEBRASKA,12440605.53,11,12435943.450377978
WY,EASTERN SHOSHONE TRIBE,12374109.91,12,12374109.91
AK,CALISTA CORPORATION,12201386.32,4,11115982.560091047
CO,UTE MOUNTAIN UTE TRIBE,12050279.76,2,8679129.15
AK,"AHTNA, INCORPORATED",11692495.23,5,11692495.229999999
AZ,HUALAPAI TRIBAL COUNCIL,11651422.41,13,11619596.23
WA,SWINOMISH INDIAN TRIBAL COMMUNITY,11645305.14,14,11645305.140036756
WA,PORT GAMBLE S'KLALLAM TRIBE,11534387.63,22,10762018.38028339
WA,SAMISH INDIAN NATION,11459199.83,8,11423136.280073937
NV,FALLON PAIUTE SHOSHONE TRIBES OF THE FALLON RESERVATION,11430467.16,10,10676257.929999998
KS,PRAIRIE BAND POTAWATOMI NATION,11417673.4,1,11407230.4
AK,KENAITZE INDIAN TRIBE,11412490.67,16,11412490.670015587
WI,ST CROIX CHIPPEWA INDIANS OF WISCONSIN,11380420.77,14,11380420.770045111
IA,SAC & FOX TRIBE OF THE MISSISSIPPI IN IOWA,11149209.5,1,11149209.5
AK,"GOLDBELT, INCORPORATED",11122220.36,2,11122220.36
NM,"SANTA ANA, PUEBLO OF",11079283.15,11,11079283.150103666
WA,SNOQUALMIE INDIAN TRIBE,10914446.36,2,10914446.36
CA,TABLE MOUNTAIN RANCHERIA,10702586.89,17,9650157.050407318
CA,TOLOWA DEE-NI NATION,10675172.23,11,10675172.23005886
NV,RENO-SPARKS INDIAN COLONY,10597824.25,16,10416685.250055352
CA,TUOLUMNE ME-WUK TRIBAL COUNCIL.,10592182.85,8,10583794.230013043
MN,PRAIRIE ISLAND TRIBAL COUNCIL,10555539.69,2,3390805.4700121176
MI,KEWEENAW BAY INDIAN COMMUNITY (INC),10529795.28,7,10449627.250168502
WI,RED CLIFF BAND OF LAKE SUPERIOR CHIPPEWA INDIANS,10483111.63,26,10483111.630302792
OR,COQUILLE INDIAN TRIBE,10463927.63,4,10196527.140077004
ME,PENOBSCOT INDIAN NATION,10461452.02,8,7014438.740070267
OR,"CONFEDERATED TRIBES OF COOS, LOWER UMPQUA AND SIUSLAW I",10295206.31,2,9496143.42
CA,MOORETOWN RANCHERIA,10202913.78,1,9954030.12
OK,PAWNEE TRIBE OF OKLAHOMA INC,10130455.35,8,10130455.350151803
OK,EASTERN SHAWNEE TRIBE OF OKLAHOMA,9564324.72,6,9564324.72
WI,BAD RIVER BAND OF LAKE SUPERIOR TRIBE OF CHIPPEWA INDIA,9485985.07,10,6991899.190086312
FL,MICCOSUKEE CORPORATION,9408753.65,1,9408753.65
NM,"JEMEZ, PUEBLO OF",9369566.38,10,9074406.060066832
WA,NOOKSACK INDIAN TRIBE,9279783.34,4,9279783.34007437
CA,FORT MOJAVE TRIBAL COUNCIL,9213765.45,2,377765.97
CA,ENTERPRISE RANCHERIA,9152294.69,2,9130134.59004533
OK,CADDO TRIBE OF OKLAHOMA,9151866.56,5,8955086.66
AK,"BARROW, NATIVE VILLAGE OF",9149243.26,0,
MI,LITTLE RIVER BAND OF OTTAWA INDIANS,9143286.9,8,7029754.000028522
LA,"CHITIMACHA TRIBE OF LOUISIANA, THE",9020572.84,9,9020572.84
AK,KETCHIKAN INDIAN COMMUNITY,8994633.44,8,7747969.150056792
TX,"ALABAMA-COUSHATTA TRIBE OF TEXAS, THE",8929450.17,8,8064228.810094546
WA,STILLAGUAMISH TRIBE OF INDIANS OF WASHINGTON,8787328.7,5,8416201.110000001
WA,JAMESTOWN S'KLALLAM TRIBE,8522365.6,6,5591179.640111232
MI,BAY MILLS INDIAN COMMUNITY,8495028.69,10,8495028.69
NM,"SANTA CLARA, PUEBLO OF",8482694.3,7,8482694.3
CA,BERRY CREEK RANCHERIA,8284886.7,1,8284886.7
MA,MASHPEE WAMPANOAG TRIBE,8210162.55,1,8144197.0
CA,PASKENTA BAND OF NOMLAKI INDIANS,7970670.99,13,7970670.990075797
AK,NATIVE VILLAGE OF KOTZEBUE,7909531.95,6,7909531.950099992
SD,CROW CREEK SIOUX TRIBE,7887969.28,4,637980.4900413831
SD,LOWER BRULE SIOUX TRIBE,7812569.62,9,7812569.620016215
OK,PEORIA TRIBE OF INDIANS OF OKLAHOMA,7700864.63,7,7700864.630064343
WA,MAKAH INDIAN TRIBE OF THE MAKAH INDIAN RESERVATION,7687180.14,1,7552850.35
MN,LOWER SIOUX COMMUNITY COUNCIL,7484599.19,8,7484599.190117159
MN,BOIS FORTE RESERVATION TRIBAL COUNCIL,7478462.62,15,7478462.620099192
MI,HANNAHVILLE INDIAN COMMUNITY,7376640.42,3,7376640.420019027
OK,PONCA TRIBE OF OKLAHOMA,7344664.6,1,5225266.24
CA,DRY CREEK RANCHERIA,7295601.55,3,7295601.55001176
CA,REDDING RANCHERIA,7271142.04,3,7271141.010061389
WA,LOWER ELWHA TRIBAL COMMUNITY,7224743.27,6,7224743.270074211
WI,STOCKBRIDGE-MUNSEE COMMUNITY,7182143.03,10,7182143.030061351
NV,FORT MCDERMITT PAIUTE,6978459.32,1,3704846.66
CA,MANCHESTER BAND OF POMO INDIANS,6874580.48,1,6414048.17
WA,SKOKOMISH INDIAN TRIBE,6835988.72,6,4282867.0001135785
AK,"KONIAG, INC.",6776696.84,2,6776696.84
NV,YERINGTON PAIUTE TRIBE,6762748.29,6,6303883.110033799
CA,SUSANVILLE INDIAN RANCHERIA,6718890.78,3,6718890.78
CA,JACKSON RANCHERIA BAND OF MIWUK INDIANS,6714809.21,3,6714809.21
AK,METLAKATLA INDIAN COMMUNITY,6695162.81,2,6695162.8100000005
OK,THLOPTHLOCCO TRIBAL TOWN,6292943.26,2,6255789.609999999
RI,NARRAGANSETT INDIAN TRIBE,6223923.84,3,5990876.840000001
OK,SENECA CAYUGA TRIBE OF OKLAHOMA,6199172.02,1,5395990.75
UT,"PAIUTE INDIAN TRIBE OF UTAH, THE",6117842.25,10,6031394.640117381
AZ,COCOPAH INDIAN TRIBE,6112305.02,1,6112305.02
CA,BISHOP INDIAN TRIBAL COUNCIL,6103926.04,12,6103926.0400904035
AK,SITKA TRIBE OF ALASKA,6098513.42,8,6098513.420056796
NM,"TAOS, PUEBLO OF",6064013.51,15,6064013.51
NM,PUEBLO OF POJOAQUE,6050918.6,3,3267918.6000735313
VA,MONACAN INDIAN NATION,6032205.25,4,6032205.250020411
CA,SHINGLE SPRINGS RANCHERIA,6019408.93,12,3706822.200072837
CA,CABAZON BAND OF MISSION INDIANS,5974885.05,4,5974885.050000001
OK,FORT SILL APACHE TRIBE,5964422.98,15,5964422.98
AK,SITNASUAK NATIVE CORPORATION,5962397.35,2,5962397.35
OK,WICHITA & AFFILIATED TRIBES,5902851.29,3,5902851.290012537
OK,SHAWNEE TRIBE,5857274.85,5,3850035.7700389344
OK,APACHE TRIBE OF OKLAHOMA,5802641.9,6,5802641.90008304
CA,BIG VALLEY OF POMO INDIANS OF THE BIG VALLEY RANCHERIA,5665728.02,11,5665728.020067625
MN,UPPER SIOUX INDIAN COMMUNITY,5509942.92,9,5509942.92008736
CA,KASHIA BAND OF POMO INDIANS OF THE STEWARTS POINT RANCH,5499722.58,7,5497729.790070413
AK,NOME ESKIMO COMMUNITY,5389400.16,1,5389400.16
CA,HOPLAND BAND OF POMO INDIANS,5239302.44,12,5239302.440114059
CA,RINCON BAND OF LUISENO MISSION INDIANS OF THE RINCON RE,5236062.84,8,5236062.840045332
WA,UPPER SKAGIT INDIAN TRIBE,5170686.85,3,5170686.8500375105
AK,"TYONEK NATIVE CORPORATION, THE",5086174.43,5,5075589.6899999995
OK,KIALEGEE TRIBAL TOWN,4969593.33,6,4966418.550019909
OK,DELAWARE NATION,4969516.95,2,4969516.949999999
ME,PLEASANT POINT INDIAN RESERVATION,4929535.23,1,23203.0
AK,"TATITLEK CORPORATION, THE",4906428.86,8,3887892.890112852
VA,CHICKAHOMINY INDIAN TRIBE,4885623.23,16,4885623.230150902
OK,"IOWA TRIBE OF OKLAHOMA, INC",4871467.03,5,4871467.029999999
CA,COYOTE VALLEY TRIBAL COUNCIL,4820029.54,5,4820029.540046495
OK,OTTAWA INDIAN TRIBE OF OKLAHOMA,4777040.13,2,4777040.129999999
CA,BIG SANDY RANCHERIA OF WESTERN MONO INDIANS OF CALIFORN,4754406.87,5,4754406.870036699
CA,ROBINSON RANCHERIA CITIZENS COUNCIL,4722669.4,2,4722669.400081899
CA,JAMUL INDIAN VILLAGE OF CALIFORNIA,4716306.38,2,4716306.38002898
AK,"ALEUT CORPORATION, THE",4692668.78,5,4692668.779999999
CA,TORRES-MARTINEZ DESERT CAHUILLA INDIANS,4667372.17,2,4667372.17
CA,WILTON RANCHERIA,4663780.4,2,342244.77999999997
OK,TONKAWA TRIBE,4617833.55,8,4617833.550063706
AK,CURYUNG TRIBAL COUNCIL,4602349.3,2,4594650.190014512
AZ,YAVAPAI APACHE NATION,4598671.95,2,4589365.63
CA,MECHOOPDA INDIAN TRIBE,4541438.51,1,4541438.51
KS,IOWA TRIBE OF KANSAS AND NEBRASKA,4506907.67,1,80249.29
NV,ELY SHOSHONE TRIBE,4300174.96,2,4288374.970023791
CA,BEAR RIVER BAND OF ROHNERVILLE RANCHERIA,4237632.67,1,4109866.5500000003
CA,TWENTY-NINE PALMS BAND OF MISSION INDIANS,4200865.95,4,4200865.95
AK,SEALASKA CORPORATION,4197437.37,1,4197437.37
ME,AROOSTOOK MICMAC COUNCIL,4107179.19,2,3988250.97
WI,SOKAOGAN CHIPPEWA COMMUNITY,3995766.25,6,3995766.25012614
AK,NATIVE VILLAGE HOOPER BAY,3983022.69,0,
CA,IONE BAND OF MIWOK INDIANS,3945429.22,5,3945429.220089589
CA,SAN PASQUAL BAND OF MISSION INDIANS,3924897.84,7,3924068.56
SD,FLANDREAU SANTEE SIOUX TRIBE,3922598.49,1,3922598.49
AK,NINILCHIK VILLAGE,3876474.22,8,3876474.22
CA,SHERWOOD VALLEY RANCHERIA,3844862.73,1,3844862.73
NE,SANTEE SIOUX TRIBE OF NEBRASKA,3773424.6,18,3773424.600118015
AK,"NATIVES OF KODIAK, INCORPORATED",3755613.17,1,3755613.17
NM,PUEBLO DE COCHITI,3745831.23,1,3745831.23
NY,CAYUGA INDIAN NATION OF NEW YORK,3744364.63,2,3497145.08
KS,"KICKAPOO TRIBE IN KANSAS, INC.",3694836.48,0,
NV,TE-MOAK TRIBE OF WESTERN SHOSHONE,3664804.02,7,3542897.650180194
CA,PAUMA BAND OF MISSION INDIANS,3658925.03,1,3658925.0300000003
MN,GRAND PORTAGE RESERVATION TRIBAL COUNCIL,3626002.12,4,3626002.12
WA,QUILEUTE TRIBE OF THE QUILEUTE RESERVATION,3555482.11,5,3361465.9299999997
CA,HABEMATOLEL POMO OF UPPER LAKE,3520068.35,4,3520068.350055885
UT,CONFEDERATED TRIBES OF THE GOSHUTE RESERVATION,3466229.72,6,3466229.72
AK,CAPE FOX CORPORATION,3424775.95,8,3424775.9500496606
MI,LAC VIEUX DESERT BAND OF LAKE SUPERIOR CHIPPEWA INDIANS,3390429.46,6,3390429.4600859145
NM,PUEBLO OF ZIA,3367319.16,2,2704013.9699999997
AK,CHEVAK NATIVE VILLAGE,3343267.42,0,
VA,UPPER MATTAPONI INDIAN TRIBE,3293143.62,6,3293143.620057555
NM,TESUQUE PUEBLO ADMINISTRATION,3288765.09,4,3288765.090071148
ME,INDIAN TOWNSHIP TRIBAL GOVERNMENT,3267094.36,4,3267094.36
OK,ALABAMA/QUASSARTE SERVICE ASSOCIATION,3262862.45,0,
CA,MIDDLETOWN RANCHERIA BAND OF POMO INDIANS OF CALIFORNIA,3158413.71,1,3158413.71
AK,NATIVE VILLAGE OF EYAK,3050501.59,6,3050501.5900700702
AK,ASA'CARSARMIUT TRIBE,3049621.96,9,3049621.9600177547
NM,NAMBE PUEBLO GOVERNOR'S OFFICE,3041196.43,6,3041196.4300358724
CA,CLOVERDALE RANCHERIA OF POMO INDIANS OF CALIFORNIA,2965985.35,2,2344582.350042845
AZ,YAVAPAI-PRESCOTT INDIAN TRIBE,2931883.42,1,2931883.42
NV,DUCKWATER SHOSHONE TRIBE,2927397.5,2,2892716.04
NV,LAS VEGAS PAIUTE TRIBE,2870020.71,3,2870020.7100651395
UT,NORTHWESTERN BAND OF THE SHOSHON NATION,2854856.17,8,2854856.170052981
WA,SHOALWATER BAY INDIAN TRIBE OF THE SHOALWATER BAY INDIA,2825521.9,2,2825521.9000000004
AK,EMMONAK VILLAGE,2794145.03,2,2742454.15
AZ,HAVASUPAI TRIBE,2719030.16,0,
AK,ORGANIZED VILLAGE OF KWETHLUK,2699158.87,5,2687749.3100179024
AK,TANADGUSIX CORPORATION,2633730.77,5,2457924.030099855
AK,"KWINHAGAK, NATIVE VILLAGE OF",2621723.24,4,2361709.810052235
AK,HUGHES VILLAGE COUNCIL,2621060.4,7,2621060.400122638
WA,SAUK-SUIATTLE INDIAN TRIBE,2620411.92,2,2620411.92
AK,AKIACHAK NATIVE COMMUNITY,2618242.45,13,2618242.450053367
LA,JENA BAND OF CHOCTAW INDIANS,2613852.48,5,2613852.480036899
AK,DOUGLAS INDIAN ASSOCIATION,2574664.8,2,2569322.64005677
AK,NATIVE VILLAGE OF SELAWIK,2568863.45,1,438550.0
AK,NATIVE VILLAGE OF KIPNUK,2519258.91,5,2455979.850041868
AK,VILLAGE OF ALAKANUK,2490277.74,1,338532.25999999995
CA,"BLUE LAKE RANCHERIA, CALIFORNIA",2489670.22,1,2489670.22
OK,MODOC NATION,2489027.72,7,2489027.7201531827
AK,KIKIKTAGRUK INUPIAT CORPORATION,2459111.49,4,2457587.3702202635
CA,QUARTZ VALLEY INDIAN RESERVATION,2457613.73,4,2457613.73
CA,AUGUSTINE BAND OF CAHUILLA MISS,2444673.76,3,2444673.76
VA,NANSEMOND INDIAN TRIBE,2443528.82,5,2443528.8200290734
AK,"GAMBELL, NATIVE VILLAGE OF",2440383.97,0,
AK,SUN'AQ TRIBE OF KODIAK,2431330.27,1,2431330.27
AK,TRADITIONAL VILLAGE OF TOGIAK,2387431.2,10,2296951.6601988836
AK,NATIVE VILLAGE OF SAVOONGA,2376568.06,1,2298419.15
ME,HOULTON BAND OF MALISEET INDIANS,2358413.49,7,2358413.49012611
AK,NATIVE VILLAGE POINT HOPE,2348063.69,4,2295617.85
CA,CHICKEN RANCH RANCHERIA OF ME-WUK INDIANS,2333132.14,6,2333132.140010973
AK,NUNAKAUYARMIUT TRIBE,2305940.8,9,2305940.800067997
AZ,TONTO APACHE TRIBE,2302670.25,0,
AK,KASIGLUK TRADITIONAL ELDERS COUNCIL,2298167.6,0,
CA,GREENVILLE RANCHERIA,2245420.08,2,2245420.08
AK,"GANA-A' YOO, LIMITED",2239353.51,1,1983944.66
AK,"KOTLIK, VILLAGE OF",2238693.52,4,2238693.52
AK,NOORVIK NATIVE COMMUNITY,2223530.62,2,2223530.62
AK,PILOT STATION TRADITIONAL VILLAGE,2222832.35,1,2173481.53
CA,FORT BIDWELL INDIAN COMMUNITY COUNCIL,2219417.14,5,2219417.1400317727
NM,PUEBLO DE SAN ILDEFONSO,2218476.16,7,2218476.16
NY,SHINNECOCK INDIAN NATION,2192213.98,1,1934237.52
CA,LA JOLLA BAND OF LUISENO INDIANS,2189526.83,7,2189526.8300648592
CA,"BUENA VISTA RANCHERIA OF THE ME-WUK INDIANS, THE",2177052.2,4,2177052.2000585413
CA,PINOLEVILLE POMO NATION,2149490.39,8,2149490.3900483567
CA,CAMPO BAND OF MISSIONS INDIANS,2142280.9,1,1911827.6099999999
CA,TEJON INDIAN TRIBE,2134835.0,7,2134835.000052057
AK,SALAMATOF NATIVE ASSOCIATION INC,2089404.4,7,2089404.4001136206
AK,NATIVE VILLAGE OF UNALAKLEET,2063800.35,3,2063800.3500000003
CA,SCOTTS VALLEY BAND OF POMO INDIANS,2046007.56,3,2046007.5600122833
NV,MOAPA BAND PAIUTE,2028281.53,1,2028281.53
AK,CHICKALOON NATIVE VILLAGE,2013365.97,2,1826978.2400000002
AK,ALEUT COMMUNITY OF SAINT PAUL ISLAND,2009558.91,5,2009558.9100000001
AK,NATIVE VILLAGE OF SHISHMAREF,2005482.54,1,0.0
NV,LOVELOCK PAIUTE TRIBE,1990477.55,1,1990477.55
AK,STEBBINS COMMUNITY ASSOCIATION,1976674.82,1,1976674.82
AK,NATIVE VILLAGE OF FORT YUKON,1949811.35,1,1949811.35
ID,KOOTENAI TRIBE OF IDAHO,1948588.1,5,1948588.1000731732
KS,SAC & FOX NATION OF MISSOURI IN KANSAS AND NEBRASKA,1928722.76,1,1539419.3099999998
AK,NATIVE VILLAGE OF NUNAPITCHUK,1907032.78,0,
CA,TIMBISHA SHOSHONE TRIBE,1903552.35,2,113072.02
CA,COLUSA INDIAN COMMUNITY COUNCIL,1877163.5,10,1877163.5000000002
AZ,KAIBAB BAND OF PAIUTE INDIANS,1858226.32,4,1858226.320034814
AK,TIKIGAQ CORPORATION,1847483.72,2,162773.52000000002
AK,"NOATAK, NATIVE VILLAGE OF",1821756.41,0,
AK,"KONGIGANAK, NATIVE VILLAGE OF",1820864.63,5,1820864.6300000001
AK,"NATIVE VILLAGE OF TANANA, THE",1800851.23,5,1800851.230095926
AK,"NATIVE VILLAGE OF SCAMMON BAY, ALASKA",1800267.51,0,
AK,VILLAGE OF CHEFORNAK,1771042.06,5,1771042.06
AK,VILLAGE OF WAINWRIGHT,1767162.14,0,
AK,NEW STUYAHOK VILLAGE,1760968.62,0,
CA,"BIG PINE PAIUTE TRIBE, THE",1727292.63,1,1625800.0
CA,CHER-AE HEIGHTS INDIAN COMMUNITY,1692552.63,7,1692552.6300000001
NM,PICURIS PUEBLO INDIAN TRIBE,1680866.05,1,1680866.0
OR,BURNS PAIUTE TRIBE,1670984.68,6,1597041.38
AK,MANOKOTAK VILLAGE,1628159.72,5,1628159.720036875
AK,ORGANIZED VILLAGE OF KAKE,1603300.46,3,521496.110054587
CA,CAHUILLA BAND OF INDIANS,1601443.63,6,1601443.63
CA,LONE PINE PAIUTE SHOSHONE,1598029.18,3,1598029.1800000002
AK,NATIVE VILLAGE OF NAPASKIAK,1583367.74,34,1552637.8204362488
AK,AKIAK NATIVE COMMUNITY,1569564.44,5,1569564.440021656
AK,"MARSHALL, NATIVE VILLAGE OF",1553631.0,6,1524696.410055013
AZ,SAN JUAN SOUTHERN PAIUTE TRIBE,1552337.12,4,1552337.12
AK,NATIVE VILLAGE OF TUNTUTULIAK,1516693.17,1,1462027.72
AK,ALGAACIQ NATIVE VILLAGE,1482611.13,1,42097.15
AK,YAKUTAT TLINGIT TRIBE,1480478.38,5,1421636.9300363022
WA,HOH INDIAN TRIBE,1478611.28,1,1096290.080013915
AK,NATIVE VILLAGE OF BUCKLAND,1468299.45,2,1468299.45
AK,CHOGGIUNG LTD.,1467884.96,2,1446121.970044846
AK,CRAIG TRIBAL ASSOCIATION,1467117.47,3,1467117.47009826
AK,NATIVE VILLAGE OF BREVIG MISSION,1450795.31,1,1407566.100056812
AK,HOONAH INDIAN ASSOCIATION,1441313.2,4,1441313.2001670338
AK,NEWTOK VILLAGE,1423391.78,5,1414091.690042918
AK,VILLAGE OF ANIAK,1421639.41,2,1413223.9
AK,TULUKSAK NATIVE COMMUNITY,1418710.69,3,518568.6
MA,WAMPANOAG TRIBE OF GAY HEAD (AQUINNAH),1410255.53,2,144354.99
AK,NATIVE VILLAGE OF NAPAKIAK,1376983.01,1,1376922.6400000001
AK,NATIVE VILLAGE OF ELIM,1375438.24,2,1375438.240048489
NV,YOMBA TRIBAL COUNCIL INC,1367656.36,0,
AK,NATIVE VILLAGE OF SAINT MICHAEL,1363995.37,1,1117679.79
AK,HYDABURG COOPERATIVE ASSOCIATION,1363984.36,1,1313794.0
AK,"KIVALINA, NATIVE VILLAGE OF",1344129.32,3,1344129.32002164
AK,KING ISLAND NATIVE COMMUNITY,1322904.84,1,1322904.8399999999
AK,NATIVE VLG TNNAK TUNUNAK NATIV,1314542.97,4,1314542.970047913
CA,IIPAY NATION OF SANTA YSABEL,1314212.2,2,1314212.2
CA,REDWOOD VALLEY LITTLE RIVER BAND OF POMO INDIANS,1301011.12,1,1301011.12
AK,NATIVE VILLAGE OF KWIGILLINGOK,1294364.36,0,
AK,K'OYITL'OTS'INA LIMITED,1285336.0,2,1285336.000185349
AK,NATIVE VILLAGE OF NUIQSUT,1274712.84,1,88085.7
CA,ELK VALLEY RANCHERIA,1253322.58,3,1253322.5800274862
AK,KLAWOCK COOPERATIVE ASSOCIATION,1229664.51,3,1229536.830043963
AK,CHILKOOT INDIAN ASSOCIATION,1226965.42,6,1113783.1500286122
AK,VILLAGE OF ATMAUTLUAK,1223613.95,0,
AK,NATIVE VILLAGE OF KIANA,1204479.87,0,
AK,IQURMIUT TRADITIONAL COUNCIL,1192049.13,0,
VA,RAPPAHANNOCK TRIBE,1171449.85,5,1171449.850151625
AK,PETERSBURG INDIAN ASSOCIATION,1168637.04,2,1168637.0399999998
CA,CAHTO TRIBE OF LAYTONVILLE RANCHERIA,1166455.53,1,922236.85
AK,GALENA VILLAGE,1159159.04,3,1109166.240038104
AK,WRANGELL COOPERATIVE ASSOCIATION,1141517.13,3,1051813.4800141759
AK,ANGOON COMMUNITY ASSOCIATION,1131754.69,4,1131754.690041285
AK,NATIVE VILLAGE OF KOYUK,1119131.99,2,1067273.23
AK,NATIVE VILLAGE OF EEK,1107938.02,0,
AK,SELDOVIA VILLAGE TRIBE,1104965.03,1,1104965.03
AK,QAGAN TAYAGUNGIN TRIBE OF SAND POINT,1103511.14,1,1092107.3900000001
CA,CORTINA BAND OF WINTUN INDIANS,1093823.58,1,1093823.58
AK,HUNA TOTEM CORPORATION,1088232.21,1,1088232.21
CA,CHEMEHUEVI INDIAN TRIBE,1079071.46,3,149357.0
AK,NORTHWAY VILLAGE,1065020.3,3,1065020.3
AK,AGDAAGUX TRIBE OF KING COVE,1036534.52,1,1036534.52
AK,NATIVE VILLAGE OF NIGHTMUTE,1021309.73,6,999142.730120621
AK,VILLAGE OF LOWER KALSKAG,1019535.12,0,
AK,NENANA NATIVE ASSOCIATION,1012700.06,2,514070.91000000003
AK,NATIVE VILLAGE OF GOODNEWS BAY,982324.36,4,816737.1900241029
AK,HUSLIA VILLAGE,971484.72,1,971484.7200568169
VA,CHICKAHOMINY INDIAN TRIBE - EASTERN DIVISION,970171.4,4,970171.4000626199
AK,"EYAK CORPORATION, THE",967457.34,2,861624.47
CA,GRINDSTONE INDIAN RANCHERIA OF WINTUN-WAILAKI INDIANS O,962305.7,1,14643.0
AK,ARCTIC VILLAGE,959513.02,1,586391.02
AK,NAQSRAGMIUT TRIBAL COUNCIL,945698.39,1,927119.7
AK,NATIVE VILLAGE OF SHUNGNAK,936814.9,2,936814.9
CA,MESA GRANDE BAND OF MISSION INDIANS,936598.13,2,340523.93
AK,NULATO VILLAGE,933061.38,2,933061.3799999999
AK,NATIVE VILLAGE OF SHAKTOOLIK,925898.65,2,925898.6499999999
CA,ELEM INDIAN COLONY,904218.31,1,111122.1
CA,WIYOT TRIBE,892300.63,0,
CA,FORT INDEPENDENCE INDIAN RESERVATION,867324.46,1,867324.46
AK,NATIVE VILLAGE OF TELLER,850708.76,4,683413.0
AK,NEW KOLIGANEK VILLAGE COUNCIL,850046.77,3,850046.77
AK,QAWALANGIN TRIBE OF UNALASKA,847268.5,1,847268.5
AK,NATIVE VILLAGE OF NANWALEK,840437.27,0,
AK,"KUSKOKWIM CORPORATION, THE",821474.24,1,820431.24
AK,ALEUT COMMUNITY OF SAINT GEORGE ISLAND,795912.78,1,91225.25
AK,ORGANIZED VILLAGE OF SAXMAN,788402.17,5,788402.170120338
AK,NATIVE VILLAGE OF AMBLER,772610.58,2,772610.5799999998
AK,"NATIVE VILLAGE KAKTOVIK, THE",765128.39,0,
AK,NATIVE VILLAGE OF TYONEK,758159.9,1,758159.9
AK,NATIVE VILLAGE OF ATQASUK,747309.39,1,0.0
AK,NATIVE VILLAGE OF MINTO,740597.47,4,740597.470062631
AK,ALUTIIQ TRIBE OF OLD HARBOR,739862.0,1,0.0
AK,NATIVE VILLAGE OF MEKORYUK,739097.59,2,739097.590046295
AK,SALAMATOF TRIBE,732307.72,1,635265.17
AK,VILLAGE OF KALSKAG,720815.67,0,
AK,NAKNEK NATIVE VILLAGE COUNCIL,713712.12,2,284000.78
AK,ALLAKAKET VILLAGE,702152.64,0,
AK,NATIVE VILLAGE OF LARSEN BAY,701773.99,0,
AK,NATIVE VILLAGE OF NUNAM IQUA,691473.64,1,691473.64
CA,COLD SPRINGS RANCHERIA,686710.07,1,581877.11
AK,HOLY CROSS TRIBE,686174.69,5,662367.880038925
AK,"MTNT, LTD.",677675.35,1,677675.35
AK,"AFOGNAK, NATIVE VILLAGE OF",671064.57,1,226196.31
AK,NATIVE VILLAGE OF KLUTI-KAAH,663836.46,1,633280.73
AK,NATIVE VILLAGE OF ALEKNAGIK,652039.28,2,652039.28
AK,NATIVE VILLAGE OF WHITE MOUNTAIN,651528.52,1,651528.52
AK,VILLAGE OF KALTAG,641183.34,2,274320.960045813
AK,RUBY TRIBAL COUNCIL,633490.69,2,601386.6900000001
AK,ORGANIZED VILLAGE OF GRAYLING,632734.42,2,632734.4200288269
AK,NATIVE VILLAGE OF TANACROSS,617261.79,2,617261.790028343
AK,TANGIRNAQ NATIVE VILLAGE,606920.36,1,606920.360113609
AK,NATIVE VILLAGE OF PORT GRAHAM,606836.83,2,606836.830048526
AK,CHINIK ESKIMO COMMUNITY,606723.2,1,499380.80000000005
CA,SANTA ROSA BAND OF CAHUILLA INDIANS,597075.42,1,595485.14
AK,BETHEL NATIVE CORPORATION,596724.19,1,596724.19
CA,BIG LAGOON RANCHERIA,594463.87,2,594463.87
AK,NATIVE VILLAGE OF POINT LAY,587219.47,0,
AK,KOKHANOK VILLAGE,585367.33,2,585367.3300000001
AK,VILLAGE OF VENETIE,580167.3,1,580167.3
CA,ALTURAS INDIAN RANCHERIA,578427.73,0,
AK,NEWHALEN VILLAGE,557878.92,2,557878.92
AK,MC GRATH NATIVE VILLAGE,550943.24,0,
