prime_recipient,sub_recipient,address,county,number,type,sub_amount,spent,tbs
"FINANCE, ALABAMA DEPT OF",CITY OF GENEVA,PO BOX 37 Geneva AL 36340-0037,AL-GENEVA,420,GRANT,225164.29,225164.29,0
"FINANCE, ALABAMA DEPT OF",CITY OF HELENA,PO BOX 262 Helena AL 35080-0262,AL-SHELBY,425,GRANT,715273.45,715273.45,0
"FINANCE, ALABAMA DEPT OF",CITY OF HOKES BLUFF,PO BOX 2338 Gadsden AL 35903-0338,AL-ETOWAH,426,GRANT,83682.03,83682.03,0
"FINANCE, ALABAMA DEPT OF",CITY OF HUNTSVILLE,308 Fountain Cir SW Huntsville AL 35801-4240,AL-MADISON,38,GRANT,9523524.78,9523524.78,0
"FINANCE, ALABAMA DEPT OF",CITY OF JACKSON,PO BOX 1096 Jackson AL 36545-1096,AL-CLARKE,427,GRANT,168327.78,168327.78,0
"FINANCE, ALABAMA DEPT OF",CITY OF JEMISON,PO BOX 609 Jemison AL 35085-0609,AL-CHILTON,428,GRANT,75712.55,75712.55,0
"FINANCE, ALABAMA DEPT OF",CITY OF LINCOLN,150 Magnolia St Lincoln AL 35096-5649,AL-TALLADEGA,429,GRANT,294601.59,294601.59,0
"FINANCE, ALABAMA DEPT OF",CITY OF MARION,PO BOX 959 Marion AL 36756-0959,AL-PERRY,432,GRANT,151187.13,151187.13,0
"FINANCE, ALABAMA DEPT OF",CITY OF ODENVILLE,183 Alabama St Odenville AL 35120-3028,AL-ST. CLAIR,437,GRANT,156200.4,156200.4,0
"FINANCE, ALABAMA DEPT OF",CITY OF OXFORD,PO BOX 3383 Oxford AL 36203-0383,AL-TALLADEGA,439,GRANT,593372.83,593372.83,0
"FINANCE, ALABAMA DEPT OF",CITY OF PHENIX CITY,601 12th St Phenix City AL 36867-5823,AL-RUSSELL,440,GRANT,646401.39,646401.39,0
"FINANCE, ALABAMA DEPT OF",CITY OF REFORM,PO BOX 489 Reform AL 35481-0489,AL-PICKENS,442,GRANT,50271.58,50271.58,0
"FINANCE, ALABAMA DEPT OF",CITY OF SEMMES,7875 Moffett Rd Semmes AL 36575-5477,AL-MOBILE,443,GRANT,193816.49,193816.49,0
"FINANCE, ALABAMA DEPT OF",CITY OF SLOCOMB,PO BOX 1147 Slocomb AL 36375-1147,AL-GENEVA,444,GRANT,107421.72,107421.72,0
"FINANCE, ALABAMA DEPT OF",CITY OF SPANISH FORT,7361 Spanish Fort Blvd Spanish Fort AL 36527-5303,AL-BALDWIN,445,GRANT,367590.52,367590.52,0
"FINANCE, ALABAMA DEPT OF",CITY OF SPRINGVILLE,PO BOX 919 Springville AL 35146-0919,AL-ST. CLAIR,446,GRANT,228175,228175,0
"FINANCE, ALABAMA DEPT OF",CITY OF TAYLOR,1469 S State Highway 605 Taylor AL 36301-7059,AL-HOUSTON,450,GRANT,80569.79,80569.79,0
"FINANCE, ALABAMA DEPT OF","CITY OF TROY, AL",306 E Academy St Troy AL 36081-2000,AL-PIKE,12,GRANT,875054.35,875054.35,0
"FINANCE, ALABAMA DEPT OF",CJH INC,2501 County Road 8 Waterloo AL 35677-3455,AL-LAUDERDALE,,DIRECT,3394220.46,3394220.46,0
"FINANCE, ALABAMA DEPT OF",CLARKE COUNTY SCHOOL DISTRICT,155 W Cobb St Grove Hill AL 36451-3045,AL-CLARKE,86,GRANT,628337,628337,0
"FINANCE, ALABAMA DEPT OF","CLAY, COUNTY OF",41771 Highway 77 Ste 1 Ashland AL 36251-4636,AL-CLAY,476,GRANT,391746.88,391746.88,0
"FINANCE, ALABAMA DEPT OF",CLEANIS INC.,31 W 34TH ST #8 NEW YORK NY 10001-3030,NY-NEW YORK,,DIRECT,1200000,1200000,0
"FINANCE, ALABAMA DEPT OF",CLEBURNE COUNTY BOARD OF EDUCATION,PO BOX 8 Heflin AL 36264-0008,AL-CLEBURNE,269,GRANT,599183,599183,0
"FINANCE, ALABAMA DEPT OF","CLEBURNE, COUNTY OF",6751 Highway 78 Heflin AL 36264-6261,AL-CLEBURNE,377,GRANT,552429.91,552429.91,0
"FINANCE, ALABAMA DEPT OF","CLIO, CITY OF",3311 Elamville St Clio AL 36017-2706,AL-BARBOUR,412,GRANT,79557.47,79557.47,0
"FINANCE, ALABAMA DEPT OF","COAST TO COAST COMPUTER PRODUCTS, INC.",4277 Valley Fair St Simi Valley CA 93063-2940,CA-VENTURA,3,CONTRACT,0,0,0
"FINANCE, ALABAMA DEPT OF","COAST TO COAST COMPUTER PRODUCTS, INC.",4277 VALLEY FAIR ST SIMI VALLEY CA 93063-2940,CA-VENTURA,,DIRECT,501330.67,501330.67,0
"FINANCE, ALABAMA DEPT OF",COFFEE COUNTY FEEDERS LLC,97 County Road 652 Chancellor AL 36316-6939,AL-COFFEE,191,GRANT,53576,53576,0
"FINANCE, ALABAMA DEPT OF","COFFEE, COUNTY OF",2 County Complex New Brockton AL 36351-9791,AL-COFFEE,378,GRANT,1592529,1592529,0
"FINANCE, ALABAMA DEPT OF",COLBERT COUNTY COMMISSION,201 N Main St Tuscumbia AL 35674-2042,AL-COLBERT,477,GRANT,206010.95,206010.95,0
"FINANCE, ALABAMA DEPT OF",COLUMBIA TELECOMMUNICATIONS CORPORATION,10613 Concord St Kensington MD 20895-2503,MD-MONTGOMERY,1,CONTRACT,4856953.44,4856953.44,0
"FINANCE, ALABAMA DEPT OF","COLUMBIA, TOWN OF",203 S Washington St Columbia AL 36319-3529,AL-HOUSTON,50,GRANT,59790.99,59790.99,0
"FINANCE, ALABAMA DEPT OF","COLUMBIANA, CITY OF",107 Mildred St Columbiana AL 35051-9331,AL-SHELBY,413,GRANT,229446.24,229446.24,0
"FINANCE, ALABAMA DEPT OF",COMCAST CABLE COMMUNICATIONS LLC,6200 The Corners Pkwy Peachtree Corners GA 30092-3365,GA-GWINNETT,8,CONTRACT,2293474.23,2293474.23,0
"FINANCE, ALABAMA DEPT OF",COMFORT SYSTEMS USA MIDSOUTH,3440 Birmingham Hwy Montgomery AL 36108-1406,AL-MONTGOMERY,,DIRECT,62635,62635,0
"FINANCE, ALABAMA DEPT OF","CONDUENT STATE & LOCAL SOLUTIONS, INC.",12410 MILESTONE CENTER DR STE 500 GERMANTOWN MD 20876-7101,MD-MONTGOMERY,,DIRECT,767455.75,767455.75,0
"FINANCE, ALABAMA DEPT OF","CONECUH, COUNTY OF",100 County Shop Rd Evergreen AL 36401-2537,AL-CONECUH,379,GRANT,424443.34,424443.34,0
"FINANCE, ALABAMA DEPT OF",CONSCENDO AVIATION INVESTMENTS LLC,21421 Cliff Haven Ct Sterling VA 20164-2225,VA-LOUDOUN,,DIRECT,884700,884700,0
"FINANCE, ALABAMA DEPT OF",CONSERVATION AND NATURAL RESOURCES,64 N Union St/Rm 458 Montgomery AL 36130-0001,AL-MONTGOMERY,,DIRECT,1895732.63,1895732.63,0
"FINANCE, ALABAMA DEPT OF","CONVERGEONE, INC.",8650 Minnie Brown Rd STE 101 Montgomery AL 36117-7803,AL-MONTGOMERY,2,CONTRACT,0,0,0
"FINANCE, ALABAMA DEPT OF","CONVERGEONE, INC.",10900 NESBITT AVE S MINNEAPOLIS MN 55437-3124,MN-HENNEPIN,,DIRECT,6947685.62,6947685.62,0
"FINANCE, ALABAMA DEPT OF",COOSA COUNTY COMMISSION,9709 US Highway 231 Rockford AL 35136-5232,AL-COOSA,478,GRANT,186500.26,186500.26,0
"FINANCE, ALABAMA DEPT OF",COOSA COUNTY SCHOOL DISTRICT,73 Nixburg Rd Rockford AL 35136-1324,AL-COOSA,87,GRANT,301609.09,301609.09,0
"FINANCE, ALABAMA DEPT OF","CORDOVA, CITY OF",154 Main St Cordova AL 35550-1413,AL-WALKER,414,GRANT,88692.78,88692.78,0
"FINANCE, ALABAMA DEPT OF",COUNTY OF MADISON,100 NORTHSIDE SQ HUNTSVILLE AL 35801-4800,AL-MADISON,,DIRECT,839272,839272,0
"FINANCE, ALABAMA DEPT OF",COUNTY OF MADISON,100 Northside Sq Huntsville AL 35801-8815,AL-MADISON,389,GRANT,9431154,9431154,0
"FINANCE, ALABAMA DEPT OF",COUNTY OF TUSCALOOSA,714 GREENSBORO AVE STE 214 TUSCALOOSA AL 35401-1859,AL-TUSCALOOSA,,DIRECT,797720,797720,0
"FINANCE, ALABAMA DEPT OF",COUNTY OF TUSCALOOSA,714 Greensboro Ave STE 214 Tuscaloosa AL 35401-1859,AL-TUSCALOOSA,56,GRANT,2913974.74,2913974.74,0
"FINANCE, ALABAMA DEPT OF","COURTLAND, TOWN OF",361 College St Courtland AL 35618-3165,AL-LAWRENCE,152,GRANT,52757,52757,0
"FINANCE, ALABAMA DEPT OF",COVINGTON COUNTY COMMISSION,260 Hillcrest Dr # 11 Andalusia AL 36420-2570,AL-COVINGTON,,DIRECT,296240,296240,0
"FINANCE, ALABAMA DEPT OF",COVINGTON COUNTY COMMISSION,260 Hillcrest Dr # 11 Andalusia AL 36420-2570,AL-COVINGTON,479,GRANT,761385.7,761385.7,0
"FINANCE, ALABAMA DEPT OF",CREATIVE BUS SALES,14740 Ramona Ave Chino CA 91710-5747,CA-SAN BERNARDINO,,DIRECT,1532868,1532868,0
"FINANCE, ALABAMA DEPT OF",CRENSHAW COUNTY COMMISSION,PO BOX 227 Luverne AL 36049-0227,AL-CRENSHAW,480,GRANT,89489.8,89489.8,0
"FINANCE, ALABAMA DEPT OF","CROSSVILLE, TOWN OF",PO BOX 100 Crossville AL 35962-0100,AL-DEKALB,153,GRANT,90283.64,90283.64,0
"FINANCE, ALABAMA DEPT OF",CROWE COOPER MEAT PROCESSORS INC,6710 Burton Dr Valley Head AL 35989-3075,AL-DEKALB,192,GRANT,50000.00006,50000,0
"FINANCE, ALABAMA DEPT OF",CSFO ALBERTVILLE CITY SCHOOL F,107 W Main St Albertville AL 35950-1625,AL-MARSHALL,271,GRANT,1349668.15,1349668.15,0
"FINANCE, ALABAMA DEPT OF",CSFO ALEXANDER CITY SCH FUNDS,375 Lee St Alexander City AL 35010-2708,AL-TALLAPOOSA,272,GRANT,808725.18,808725.18,0
"FINANCE, ALABAMA DEPT OF",CSFO ANNISTON CITY SCHOOL FUNDS,PO BOX 1500 Anniston AL 36202-1500,AL-CALHOUN,274,GRANT,551478,551478,0
"FINANCE, ALABAMA DEPT OF",CSFO ARAD CITY SCHOOL FUNDS,750 Arabian Dr NE Arab AL 35016-1161,AL-MARSHALL,275,GRANT,641109,641109,0
"FINANCE, ALABAMA DEPT OF",CSFO ATHENS CITY SCHOOL FUNDS,455 US Highway 31 N Athens AL 35611-4998,AL-LIMESTONE,276,GRANT,1010155,1010155,0
"FINANCE, ALABAMA DEPT OF",CSFO BALDWIN COUNTY BOARD OF EDUCATION,2600A Hand Ave Bay Minette AL 36507-4180,AL-BALDWIN,501,GRANT,241907.15,241907.15,0
"FINANCE, ALABAMA DEPT OF",CSFO BARBOUR COUNTY SCHOOL FUNDS,PO BOX 429 Clayton AL 36016-0429,AL-BARBOUR,278,GRANT,359850,359850,0
"FINANCE, ALABAMA DEPT OF",CSFO BESSEMER CITY SCHOOL FUNDS,PO BOX 1230 Bessemer AL 35021-1230,AL-JEFFERSON,279,GRANT,958754,958754,0
"FINANCE, ALABAMA DEPT OF",CSFO BIBB CO SCHOOL FUNDS,721 Walnut St Centreville AL 35042-2316,AL-BIBB,280,GRANT,829353,829353,0
"FINANCE, ALABAMA DEPT OF",CSFO BLOUNT CO SCHOOL FUNDS,PO BOX 578 Oneonta AL 35121-0007,AL-BLOUNT,281,GRANT,1613501,1613501,0
"FINANCE, ALABAMA DEPT OF",CSFO BREWTON CITY SCHOOL FUND,811 Belleville Ave Brewton AL 36426-1754,AL-ESCAMBIA,282,GRANT,383294,383294,0
"FINANCE, ALABAMA DEPT OF",CSFO BULLOCK CO SCHOOL FUNDS,PO BOX 231 Union Springs AL 36089-0231,AL-BULLOCK,283,GRANT,511130,511130,0
"FINANCE, ALABAMA DEPT OF",CSFO CHAMBERS CO SCHOOL FUNDS,PO BOX 408 Lafayette AL 36862-0408,AL-CHAMBERS,285,GRANT,932870,932870,0
"FINANCE, ALABAMA DEPT OF",CSFO CHEROKEE CO SCHOOL FUNDS,100 E Main St Centre AL 35960-1517,AL-CHEROKEE,286,GRANT,898657,898657,0
"FINANCE, ALABAMA DEPT OF",CSFO CHICKASAW CITY SCHOOL FUNDS,PO BOX 11493 Mobile AL 36671-0493,AL-MOBILE,287,GRANT,427968.7,427968.7,0
"FINANCE, ALABAMA DEPT OF",CSFO CHOCTAW COUNTY SCHOOL FUNDS,107 Tom Orr Dr Butler AL 36904-3504,AL-CHOCTAW,289,GRANT,445313,445313,0
"FINANCE, ALABAMA DEPT OF",CSFO CLAY COUNTY SCHOOL FUNDS,PO BOX 278 Ashland AL 36251-0278,AL-CLAY,290,GRANT,524159,524159,0
"FINANCE, ALABAMA DEPT OF",CSFO COFFEE COUNTY SCHOOL FUND,400 Reddoch Hill Rd Elba AL 36323-1661,AL-COFFEE,291,GRANT,658203.62,658203.62,0
"FINANCE, ALABAMA DEPT OF",CSFO COLBERT CO SCHOOL FUND,PO BOX 538 Tuscumbia AL 35674-0538,AL-COLBERT,292,GRANT,731914,731914,0
"FINANCE, ALABAMA DEPT OF",CSFO CONECUH CO SCHOOL FUNDS,1455 Ted Bates Rd Evergreen AL 36401-1514,AL-CONECUH,293,GRANT,565325,565325,0
"FINANCE, ALABAMA DEPT OF",CSFO COVINGTON COUNTY SCHOOL FUNDS,807 C C Baker Ave Andalusia AL 36421-2137,AL-COVINGTON,67,GRANT,751349,751349,0
"FINANCE, ALABAMA DEPT OF",CSFO CRENSHAW CO SCHOOL FUNDS,183 Votec Dr Luverne AL 36049-1705,AL-CRENSHAW,294,GRANT,634898,634898,0
"FINANCE, ALABAMA DEPT OF",CSFO CULLMAN CITY SCHOOL FUNDS,301 1st St NE Cullman AL 35055-3542,AL-CULLMAN,295,GRANT,700431,700431,0
"FINANCE, ALABAMA DEPT OF",CSFO DALE CO SCHOOL FUNDS,PO BOX 948 Ozark AL 36361-0948,AL-DALE,296,GRANT,785805,785805,0
"FINANCE, ALABAMA DEPT OF",CSFO DALEVILLE CITY SCHOOL FUNDS,626 N Daleville Ave Daleville AL 36322-2006,AL-DALE,297,GRANT,273762.79,273762.79,0
"FINANCE, ALABAMA DEPT OF",CSFO DALLAS COUNTY SCHOOL FUNDS,PO BOX 1056 Selma AL 36702-1056,AL-DALLAS,88,GRANT,846953.73,846953.73,0
"FINANCE, ALABAMA DEPT OF",CSFO DECATUR CITY SCHOOL FUNDS,302 4th Ave NE Decatur AL 35601-1972,AL-MORGAN,89,GRANT,1973108,1973108,0
"FINANCE, ALABAMA DEPT OF",CSFO DEKALB COUNTY SCHOOL FUNDS,PO BOX 1668 Rainsville AL 35986-1668,AL-DEKALB,298,GRANT,2037640,2037640,0
"FINANCE, ALABAMA DEPT OF",CSFO DEMOPOLIS CITY SCHOOL FUNDS,PO BOX 759 Demopolis AL 36732-0759,AL-MARENGO,299,GRANT,588530.06,588530.06,0
"FINANCE, ALABAMA DEPT OF",CSFO DOTHAN CITY SCHOOL FUNDS,1665 Honeysuckle Rd Dothan AL 36305-1911,AL-HOUSTON,300,GRANT,1934241,1934241,0
"FINANCE, ALABAMA DEPT OF",CSFO ELBA CITY SCHOOL FUNDS,131 Tiger Dr Elba AL 36323-4025,AL-COFFEE,301,GRANT,296697,296697,0
"FINANCE, ALABAMA DEPT OF",CSFO ELMORE CO SCHOOL FUNDS,PO BOX 817 Wetumpka AL 36092-0014,AL-ELMORE,302,GRANT,2556478,2556478,0
"FINANCE, ALABAMA DEPT OF",CSFO ESCAMBIA COUNTY SCHOOL FUNDS,PO BOX 307 Brewton AL 36427-0307,AL-ESCAMBIA,303,GRANT,1017111,1017111,0
"FINANCE, ALABAMA DEPT OF",CSFO ETOWAH COUNTY SCHOOL FUND,3200 W Meighan Blvd Gadsden AL 35904-1732,AL-ETOWAH,304,GRANT,1710358,1710358,0
"FINANCE, ALABAMA DEPT OF",CSFO FAIRFIELD CITY SCHOOL FUNDS,6405 Avenue D Fairfield AL 35064-1955,AL-JEFFERSON,305,GRANT,547034,547034,0
"FINANCE, ALABAMA DEPT OF",CSFO FAYETTE COUNTY SCHOOL FUNDS,PO BOX 686 Fayette AL 35555-0686,AL-FAYETTE,306,GRANT,594798,594798,0
"FINANCE, ALABAMA DEPT OF",CSFO FLORENCE CITY SCHOOL FUNDS,PO BOX 10 Florence AL 35631-0010,AL-LAUDERDALE,307,GRANT,1053874,1053874,0
"FINANCE, ALABAMA DEPT OF",CSFO FT PAYNE CITY SCHOOL FUNDS,PO BOX 681029 Fort Payne AL 35968-1611,AL-DEKALB,308,GRANT,827261,827261,0
"FINANCE, ALABAMA DEPT OF",CSFO GADSDEN CITY SCHOOL FUNDS,PO BOX 184 Gadsden AL 35902-0184,AL-ETOWAH,309,GRANT,1173798.04,1173798.04,0
"FINANCE, ALABAMA DEPT OF",CSFO GENEVA CITY SCHOOL FUNDS,511 Panther Dr Geneva AL 36340-1407,AL-GENEVA,310,GRANT,394713,394713,0
"FINANCE, ALABAMA DEPT OF",CSFO GENEVA COUNTY SCHOOL FUNDS,PO BOX 250 Geneva AL 36340-0250,AL-GENEVA,311,GRANT,664853,664853,0
"FINANCE, ALABAMA DEPT OF",CSFO GREENE COUNTY SCHOOL FUNDS,220 Main St Eutaw AL 35462-1002,AL-GREENE,312,GRANT,395301,395301,0
"FINANCE, ALABAMA DEPT OF",CSFO GULF SHORES CITY SCHOOLS,300 E 16th Ave Gulf Shores AL 36542-3514,AL-BALDWIN,90,GRANT,450884.9,450884.9,0
"FINANCE, ALABAMA DEPT OF",CSFO GUNTERSVILLE CITY SCHOOL FUNDS,PO BOX 129 Guntersville AL 35976-0129,AL-MARSHALL,313,GRANT,503649.84,503649.84,0
"FINANCE, ALABAMA DEPT OF",CSFO HALEYVILLE CITY SCHOOL FUNDS,2011 20th St Haleyville AL 35565-1959,AL-WINSTON,314,GRANT,502075,502075,0
"FINANCE, ALABAMA DEPT OF",CSFO HOUSTON COUNTY SCHOOL FUNDS,404 W Washington St Dothan AL 36301-2540,AL-HOUSTON,316,GRANT,1358791,1358791,0
"FINANCE, ALABAMA DEPT OF",CSFO HUNTSVILLE CITY SCHOOL FUNDS,PO BOX 1256 Huntsville AL 35807-4801,AL-MADISON,317,GRANT,4562347,4562347,0
"FINANCE, ALABAMA DEPT OF",CSFO JACKSON COUNTY SCHOOL FUNDS,PO BOX 490 Scottsboro AL 35768-0490,AL-JACKSON,318,GRANT,1126631,1126631,0
"FINANCE, ALABAMA DEPT OF",CSFO JACKSONVILLE CITY SCH FDS,123 College St SW Jacksonville AL 36265-2165,AL-CALHOUN,74,GRANT,453886,453886,0
"FINANCE, ALABAMA DEPT OF",CSFO JASPER CITY SCHOOL FUNDS,PO BOX 500 Jasper AL 35502-0500,AL-WALKER,92,GRANT,726396,726396,0
"FINANCE, ALABAMA DEPT OF",CSFO LAMAR COUNTY SCHOOL FUND,PO BOX 1379 Vernon AL 35592-1379,AL-LAMAR,319,GRANT,609146,609146,0
"FINANCE, ALABAMA DEPT OF",CSFO LANETT CITY SCHOOL FUNDS,105 N Lanier Ave Lanett AL 36863-2013,AL-CHAMBERS,93,GRANT,392260,392260,0
"FINANCE, ALABAMA DEPT OF",CSFO LAUDERDALE COUNTY SCHOOL FUND,PO BOX 278 Florence AL 35631-0278,AL-LAUDERDALE,320,GRANT,1593446,1593446,0
"FINANCE, ALABAMA DEPT OF",CSFO LEE COUNTY SCHOOL FUNDS,2410 Society Hill Rd Opelika AL 36804-4830,AL-LEE,321,GRANT,1713630,1713630,0
"FINANCE, ALABAMA DEPT OF",CSFO LIMESTONE COUNTY SCHOOL FUNDS,300 S Jefferson St Athens AL 35611-2549,AL-LIMESTONE,322,GRANT,2198909,2198909,0
"FINANCE, ALABAMA DEPT OF",CSFO LINDEN CITY SCHOOL FUND,PO BOX 480609 Linden AL 36748-0609,AL-MARENGO,323,GRANT,253256.78,253256.78,0
"FINANCE, ALABAMA DEPT OF",CSFO LOWNDES COUNTY SCHOOL FUNDS,PO BOX 755 Hayneville AL 36040-0755,AL-LOWNDES,324,GRANT,200016,200016,0
"FINANCE, ALABAMA DEPT OF",CSFO LOWNDES COUNTY SCHOOL FUNDS,PO BOX 755 Hayneville AL 36040-0755,AL-LOWNDES,508,GRANT,285679.12,285679.12,0
"FINANCE, ALABAMA DEPT OF",CSFO MACON COUNTY SCHOOL FUNDS,PO BOX 830090 Tuskegee AL 36083-0090,AL-MACON,96,GRANT,566583.75,566583.75,0
"FINANCE, ALABAMA DEPT OF",CSFO MADISON COUNTY SCHOOL FUNDS,PO BOX 226 Huntsville AL 35804-0226,AL-MADISON,325,GRANT,3421942,3421942,0
"FINANCE, ALABAMA DEPT OF",CSFO MARENGO COUNTY SCHOOL FUNDS,PO BOX 480339 Linden AL 36748-0339,AL-MARENGO,373,GRANT,354959.5,354959.5,0
"FINANCE, ALABAMA DEPT OF",CSFO MARSHALL COUNTY SCHOOL FUNDS,12380 US Highway 431 Guntersville AL 35976-9351,AL-MARSHALL,327,GRANT,1549946.65,1549946.65,0
"FINANCE, ALABAMA DEPT OF",CSFO MOBILE CO SCHOOL FUNDS,PO BOX 180069 Mobile AL 36618-0069,AL-MOBILE,329,GRANT,6118151.68,6118151.68,0
"FINANCE, ALABAMA DEPT OF",CSFO MONTGOMERY COUNTY SCHOOL FUND,PO BOX 1991 Montgomery AL 36102-1991,AL-MONTGOMERY,330,GRANT,6799950,6799950,0
"FINANCE, ALABAMA DEPT OF",CSFO MORGAN COUNTY SCHOOL FUNDS,235 Highway 67 S Decatur AL 35603-5438,AL-MORGAN,331,GRANT,1736809,1736809,0
"FINANCE, ALABAMA DEPT OF",CSFO MT BROOK CITY SCHOOL FUND,32 Vine St Mountain Brk AL 35213-3716,AL-JEFFERSON,332,GRANT,846954,846954,0
"FINANCE, ALABAMA DEPT OF",CSFO MUSCLE SHOALS CITY SCHOOL FUND,PO BOX 2610 Muscle Shoals AL 35662-2610,AL-COLBERT,370,GRANT,661955.37,661955.37,0
"FINANCE, ALABAMA DEPT OF",CSFO OXFORD CITY SCHOOL FUND,PO BOX 7670 Oxford AL 36203-7670,AL-CALHOUN,333,GRANT,960298,960298,0
"FINANCE, ALABAMA DEPT OF",CSFO PELL CITY SCHOOL FUNDS,3105 15th Ave N Pell City AL 35125-1494,AL-ST. CLAIR,334,GRANT,931700,931700,0
"FINANCE, ALABAMA DEPT OF",CSFO PERRY COUNTY SCHOOL FUND,PO BOX 900 Marion AL 36756-0900,AL-PERRY,335,GRANT,442738,442738,0
"FINANCE, ALABAMA DEPT OF",CSFO PHENIX CITY SCHOOL FUND,PO BOX 460 Phenix City AL 36868-0460,AL-RUSSELL,336,GRANT,1591312,1591312,0
"FINANCE, ALABAMA DEPT OF",CSFO PICKENS CO BOARD OF EDUCATION,377 Ladow Center Cir Carrollton AL 35447-3532,AL-PICKENS,337,GRANT,698331,698331,0
"FINANCE, ALABAMA DEPT OF",CSFO PIEDMONT CITY SCHOOL FUND,502 W Hood St Piedmont AL 36272-1530,AL-CALHOUN,338,GRANT,367017,367017,0
"FINANCE, ALABAMA DEPT OF",CSFO PIKE COUNTY SCHOOL FUNDS,101 W Love St Troy AL 36081-1906,AL-PIKE,100,GRANT,617034.62,617034.62,0
"FINANCE, ALABAMA DEPT OF",CSFO ROANOKE CITY SCHOOL FUNDS,PO BOX 1367 Roanoke AL 36274-9067,AL-RANDOLPH,339,GRANT,461898,461898,0
"FINANCE, ALABAMA DEPT OF",CSFO RUSSELL COUNTY SCHOOL FUNDS,PO BOX 400 Phenix City AL 36868-0400,AL-RUSSELL,340,GRANT,847508,847508,0
"FINANCE, ALABAMA DEPT OF",CSFO RUSSELLVILLE CITY SCHOOL FUNDS,1945 Waterloo Rd Russellville AL 35653-5432,AL-FRANKLIN,341,GRANT,740185.71,740185.71,0
"FINANCE, ALABAMA DEPT OF",CSFO SATSUMA CITY SCHOOL FUNDS,PO BOX 939 Satsuma AL 36572-0939,AL-MOBILE,343,GRANT,453984,453984,0
"FINANCE, ALABAMA DEPT OF",CSFO SELMA CITY SCH FUNDS,PO BOX 350 Selma AL 36702-0350,AL-DALLAS,80,GRANT,821745.81,821745.81,0
"FINANCE, ALABAMA DEPT OF",CSFO SHEFFIELD CITY SCHOOL FUND,300 W 6th St Sheffield AL 35660-2802,AL-COLBERT,344,GRANT,385574,385574,0
"FINANCE, ALABAMA DEPT OF",CSFO ST. CLAIR CO SCHOOL FUNDS,410 Roy Dr Ashville AL 35953-6053,AL-ST. CLAIR,345,GRANT,1917749,1917749,0
"FINANCE, ALABAMA DEPT OF",CSFO SUMTER COUNTY SCHOOL FUNDS,PO BOX 10 Livingston AL 35470-0010,AL-SUMTER,346,GRANT,450551,450551,0
"FINANCE, ALABAMA DEPT OF",CSFO SYLACAUGA CITY SCHOOL FUNDS,43 N Broadway Ave Sylacauga AL 35150-2521,AL-TALLADEGA,347,GRANT,562110,562110,0
"FINANCE, ALABAMA DEPT OF",CSFO TALLADEGA CITY SCHOOL FUNDS,PO BOX 946 Talladega AL 35161-0946,AL-TALLADEGA,348,GRANT,568043,568043,0
"FINANCE, ALABAMA DEPT OF",CSFO TALLADEGA CO SCHOOL FUND,PO BOX 887 Talladega AL 35161-0887,AL-TALLADEGA,349,GRANT,1569861,1569861,0
"FINANCE, ALABAMA DEPT OF",CSFO TALLAPOOSA COUNTY SCHOOL FUND,379 E Columbus St Dadeville AL 36853-1401,AL-TALLAPOOSA,350,GRANT,759679,759679,0
"FINANCE, ALABAMA DEPT OF",CSFO TALLASSEE CITY SCHOOL FUNDS,308 King St Tallassee AL 36078-1316,AL-ELMORE,351,GRANT,508667,508667,0
"FINANCE, ALABAMA DEPT OF",CSFO TARRANT CITY SCHOOL FUNDS,1318 Alabama St Birmingham AL 35217-3035,AL-JEFFERSON,352,GRANT,383887.54,383887.54,0
"FINANCE, ALABAMA DEPT OF",CSFO TRUSSVILLE CITY SCHOOL FUND,113 N Chalkville Rd Trussville AL 35173-1341,AL-JEFFERSON,353,GRANT,797262.32,797262.32,0
"FINANCE, ALABAMA DEPT OF",CSFO TUSCALOOSA CITY SCHOOL FUND,PO BOX 038991 Tuscaloosa AL 35403-8991,AL-TUSCALOOSA,354,GRANT,2377382,2377382,0
"FINANCE, ALABAMA DEPT OF",CSFO TUSCALOOSA COUNTY SCHOOL FUNDS,PO BOX 2568 Tuscaloosa AL 35403-2568,AL-TUSCALOOSA,355,GRANT,3920807,3920807,0
"FINANCE, ALABAMA DEPT OF",CSFO TUSCUMBIA CITY SCHOOL FUND,303 N Commons St E Tuscumbia AL 35674-1210,AL-COLBERT,356,GRANT,449506,449506,0
"FINANCE, ALABAMA DEPT OF",CSFO VESTAVIA HILLS CITY SCHOOL FUND,PO BOX 660826 Birmingham AL 35266-0826,AL-JEFFERSON,357,GRANT,590404,590404,0
"FINANCE, ALABAMA DEPT OF",CSFO WASHINGTON COUNTY SCHOOL FUND,PO BOX 1359 Chatom AL 36518-1359,AL-WASHINGTON,359,GRANT,688767,688767,0
"FINANCE, ALABAMA DEPT OF",CSFO WILCOX COUNTY SCHOOL FUND,PO BOX 160 Camden AL 36726-0160,AL-WILCOX,360,GRANT,507289,507289,0
"FINANCE, ALABAMA DEPT OF",CSRA LLC,3170 FAIRVIEW PARK DR FALLS CHURCH VA 22042-4516,VA-FAIRFAX,,DIRECT,1911815.82,1911815.82,0
"FINANCE, ALABAMA DEPT OF",CSRA STATE AND LOCAL SOLUTIONS LLC,310 The Bridge St Huntsville AL 35806-0031,AL-MADISON,,DIRECT,2675509.75,2675509.75,0
