prime_recipient,sub_recipient,Location info,county,Award number,Award type,awards,Money spent to date,To be spent
"PUBLIC SAFETY, ALASKA DEPT OF",BRITTA SEA FISHERIES,780 Daybreeze Ct Homer AK 99603-7477,AK-KENAI PENINSULA,201362,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",BRITTANY MICHELLE LLC,13020 Foster Rd Anchorage AK 99516-3233,AK-ANCHORAGE,200898,GRANT,70699.99,70699.99,0
"PUBLIC SAFETY, ALASKA DEPT OF",BROPHY FISHERIES LLC,3611 Unicorn Ave Pahrump NV 89048-0935,NV-NYE,200120,GRANT,98468.92,98468.92,0
"PUBLIC SAFETY, ALASKA DEPT OF",BRUCE E. MARIFERN,PO BOX 917 Petersburg AK 99833-0917,AK-PETERSBURG,203272,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",BRUNNER MACHINEWORKS LLC,5075 Kachemak Dr Ste 9C Homer AK 99603-9402,AK-KENAI PENINSULA,200147,GRANT,60317.79,60317.79,0
"PUBLIC SAFETY, ALASKA DEPT OF",BRYAN CHARTIER,PO BOX 233 Seldovia AK 99663-0233,AK-KENAI PENINSULA,203467,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",BS FISHERIES LLC.,104 Mt. Eccles Estates Cordova AK 99574,AK-VALDEZ CORDOVA,201784,GRANT,74790.17,74790.17,0
"PUBLIC SAFETY, ALASKA DEPT OF",BS GOLD VENTURES LTD.,PO BOX 64 Chicken AK 99732-0064,AK-SOUTHEAST FAIRBANKS,202356,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",BUBA CORP. DAISY CORP.,1021 W Northern Lights Blvd Anchorage AK 99503-2409,AK-ANCHORAGE,200916,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF","BUCKLAND, CITY OF",PO BOX 49 Buckland AK 99727-0049,AK-NORTHWEST ARCTIC,20-CRF-030,GRANT,369844.37,369844.37,0
"PUBLIC SAFETY, ALASKA DEPT OF",BUSBY FISHERIES INC,915 Soundview Ave Homer AK 99603-8318,AK-KENAI PENINSULA,200630,GRANT,63040.04,63040.04,0
"PUBLIC SAFETY, ALASKA DEPT OF","BUTTERVILLE T-SHIRT COMPANY, LLC",7851 Spring St Ste 3 Anchorage AK 99518-3218,AK-ANCHORAGE,203456,GRANT,71183.02,71183.02,0
"PUBLIC SAFETY, ALASKA DEPT OF","BUZZ ROHLFING, INC.",315 E St Anchorage AK 99501-2306,AK-ANCHORAGE,202271,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF","C & M MUFFLER & TRANSMISSION, INC",44624 Sterling Hwy Ste B Soldotna AK 99669-7966,AK-KENAI PENINSULA,203542,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",C'S SERVICES,6810 Hunt Ave Anchorage AK 99504-1889,AK-ANCHORAGE,202060,GRANT,76093.35,76093.35,0
"PUBLIC SAFETY, ALASKA DEPT OF",CAFE DE PARIS CATERING COMPANY,575 1st Ave Fairbanks AK 99701-4724,AK-FAIRBANKS NORTH STAR,201858,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",CALEB JOHNSON,PO BOX 1064 Dillingham AK 99576-1064,AK-DILLINGHAM,200119,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",CALEB MIKKELSEN,1260 N Rainbow Park Dr Wasilla AK 99623-9242,AK-MATANUSKA-SUSITNA,201185,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",CALIFORNIA GOVERNORS OFFICE OF EMERGENCY SERVICES,3650 Schriever Ave Mather CA 95655-4203,CA-SACRAMENTO,LA5782-PPE,GRANT,1650000,1650000,0
"PUBLIC SAFETY, ALASKA DEPT OF","CALLAHAN FISH COMPANY, LLC",PO BOX 3090 Homer AK 99603-3090,AK-KENAI PENINSULA,200643,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",CAMP FIRE ALASKA,161 Klevin St Ste 100 Anchorage AK 99508-1508,AK-ANCHORAGE,,DIRECT,791600,791600,0
"PUBLIC SAFETY, ALASKA DEPT OF",CAMPBELL PAINTING LLC,1539 Harriet Ct Anchorage AK 99515-3854,AK-ANCHORAGE,203003,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",CANTINA INC.,20239 Eagles Nest Ct Eagle River AK 99577-8875,AK-ANCHORAGE,203416,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",CAPTAIN BLACK FISHERIES LLC,11620 Our Rd Anchorage AK 99516-2322,AK-ANCHORAGE,203770,GRANT,81692.74,81692.74,0
"PUBLIC SAFETY, ALASKA DEPT OF",CAPTAIN FV PATIENCE 31056,1207 Edgecumbe Dr Sitka AK 99835-7029,AK-SITKA,205255,GRANT,90113.8,90113.8,0
"PUBLIC SAFETY, ALASKA DEPT OF",CAPTAIN LEE'S INC,320 W 5th Ave Ste 412 Anchorage AK 99501-2353,AK-ANCHORAGE,202901,GRANT,82336.27,82336.27,0
"PUBLIC SAFETY, ALASKA DEPT OF",CARL RASMUSSEN,1240 Mount Rose St Reno NV 89509-3265,NV-WASHOE,202785,GRANT,66202.7,66202.7,0
"PUBLIC SAFETY, ALASKA DEPT OF","CAROLINE BLAIR, PSYD, LLC",3003 Minnesota Dr Ste 204 Anchorage AK 99503-3673,AK-ANCHORAGE,202349,GRANT,56910.41,56910.41,0
"PUBLIC SAFETY, ALASKA DEPT OF",CARRIE L HERNDON CPA LLC,PO BOX 2131 Homer AK 99603-2131,AK-KENAI PENINSULA,202147,GRANT,60075.41,60075.41,0
"PUBLIC SAFETY, ALASKA DEPT OF",CARUSO SETNET OPERATION,PO BOX 398 King Salmon AK 99613-0398,AK-LAKE AND PENINSULA,200654,GRANT,86404.1,86404.1,0
"PUBLIC SAFETY, ALASKA DEPT OF",CATHOLIC SOCIAL SERVICES INC,3710 E 20th Ave Municipality of Anchorage/Balance of State Anchorage AK 99508-3418,AK-ANCHORAGE,HAP20CSS2CARES,GRANT,7430665.11,7430665.11,0
"PUBLIC SAFETY, ALASKA DEPT OF",CB FISHING INC.,51465 Mariah Ct Kasilof AK 99610-9614,AK-KENAI PENINSULA,200636,GRANT,64623.4,64623.4,0
"PUBLIC SAFETY, ALASKA DEPT OF",CCC INCORPORATED,3020 Minnesota Dr Ste 9 Anchorage AK 99503-3674,AK-ANCHORAGE,,DIRECT,201362.62,201362.62,0
"PUBLIC SAFETY, ALASKA DEPT OF",CCDC INCORPORATED,6575 E Northern Lights Blvd Anchorage AK 99504-3384,AK-ANCHORAGE,,DIRECT,173634,173634,0
"PUBLIC SAFETY, ALASKA DEPT OF",CCDC INCORPORATED,6821 Weimer Rd Anchorage AK 99502-2923,AK-ANCHORAGE,,DIRECT,63200.00004,63200,0
"PUBLIC SAFETY, ALASKA DEPT OF",CCS EARLY LEARNING,2060 E Industrial Dr Wasilla AK 99654-8201,AK-MATANUSKA-SUSITNA,,DIRECT,69200.00004,69200,0
"PUBLIC SAFETY, ALASKA DEPT OF",CENTER FOR ALASKAN COASTAL STUDIES,708 Smoky Bay Way Homer AK 99603-7653,AK-KENAI PENINSULA,203490,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",CENTRAL MACHINE,36425 Lakeshore Dr Soldotna AK 99669-8691,AK-KENAI PENINSULA,201474,GRANT,54656.2,54656.2,0
"PUBLIC SAFETY, ALASKA DEPT OF",CENTRAL PENINSULA REFRIGERATION,47130 Harvard Ave Soldotna AK 99669-8244,AK-KENAI PENINSULA,200966,GRANT,83393.84,83393.84,0
"PUBLIC SAFETY, ALASKA DEPT OF","CHAMP TKD, INC",2610 Arctic Blvd Anchorage AK 99503-2518,AK-ANCHORAGE,201023,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",CHARLES CARPENTER,4739 Mermont Dr Everett WA 98203-2903,WA-SNOHOMISH,204162,GRANT,69427.81,69427.81,0
"PUBLIC SAFETY, ALASKA DEPT OF",CHARLES GADD COMMERCIAL FISHING,PO BOX 2144 Wrangell AK 99929-2144,AK-WRANGELL,203294,GRANT,52286.29,52286.29,0
"PUBLIC SAFETY, ALASKA DEPT OF",CHATTERMARK LLC,1120 E Huffman #24 PMB416 Anchorage AK 99515,AK-ANCHORAGE,203426,GRANT,92760.74,92760.74,0
"PUBLIC SAFETY, ALASKA DEPT OF","CHEFORNAK, CITY OF",PO BOX 29 Chefornak AK 99561-0029,AK-BETHEL,20-CRF-033,GRANT,230352.43,191853.83,38498.6
"PUBLIC SAFETY, ALASKA DEPT OF","CHEVAK, CITY OF",PO BOX 136 Chevak AK 99563-0136,AK-KUSILVAK,20-CRF-035,GRANT,510904.83,510904.83,0
"PUBLIC SAFETY, ALASKA DEPT OF",CHICKEN GOLD COMPANY,PO BOX 70 Chicken AK 99732-0070,AK-SOUTHEAST FAIRBANKS,201830,GRANT,99996,99996,0
"PUBLIC SAFETY, ALASKA DEPT OF",CHILDRENS CREATIVE LEARNING CENTERS LLC,650 NE Holladay St Ste 1400 Portland OR 97232-2096,OR-MULTNOMAH,,DIRECT,72000.00004,72000,0
"PUBLIC SAFETY, ALASKA DEPT OF",CHILDRENS WORLD BILINGUAL MONTESSORI LLC,7423 Jewel Lake Rd Anchorage AK 99502-2830,AK-ANCHORAGE,,DIRECT,267548,267548,0
"PUBLIC SAFETY, ALASKA DEPT OF",CHILDS EARLY LEARNING CENTER LLC,7231 Meadow St Anchorage AK 99507-2637,AK-ANCHORAGE,,DIRECT,52200.00005,52200,0
"PUBLIC SAFETY, ALASKA DEPT OF",CHILKOOT TRAIL OUTPOST,PO BOX 248 Skagway AK 99840-0248,AK-SKAGWAY,204543,GRANT,65756.35,65756.35,0
"PUBLIC SAFETY, ALASKA DEPT OF","CHINOOK GIFTS, LLC",PO BOX 315 King Salmon AK 99613-0315,AK-LAKE AND PENINSULA,203004,GRANT,69971.13,69971.13,0
"PUBLIC SAFETY, ALASKA DEPT OF",CHOCOLATE FIELD INC,2286 Abbott Rd Anchorage AK 99507-4454,AK-ANCHORAGE,202407,GRANT,70534,70534,0
"PUBLIC SAFETY, ALASKA DEPT OF",CHRIS ROSAUER,3527 E 88th Ave Anchorage AK 99507-3915,AK-ANCHORAGE,203604,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",CHRISTIAN HEALTH ASSOCIATES INC,1825 Academy Dr Anchorage AK 99507-5391,AK-ANCHORAGE,605-234-20008,GRANT,649175,649175,0
"PUBLIC SAFETY, ALASKA DEPT OF",CHRISTOPHER ALAKAYAK,PO BOX 62 Manokotak AK 99628-0062,AK-DILLINGHAM,200538,GRANT,0,0,0
"PUBLIC SAFETY, ALASKA DEPT OF",CHRISTOPHER CAMERON FISHERIES,450 Alameda Ave Astoria OR 97103-6302,OR-CLATSOP,200057,GRANT,98762.62,98762.62,0
"PUBLIC SAFETY, ALASKA DEPT OF",CHRISTOPHER MCFADYEN,PO BOX 592 Petersburg AK 99833-0592,AK-PETERSBURG,203056,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF","CHUATHBALUK, CITY OF",PO BOX Chu Chuathbaluk AK 99557-8999,AK-BETHEL,20-CRF-039,GRANT,111240.6,70393.42,40847.18
"PUBLIC SAFETY, ALASKA DEPT OF",CHUGACH OUTDOOR CENTER INC,28069 Hope Hwy Hope AK 99605-9701,AK-KENAI PENINSULA,203528,GRANT,65681.43,65681.43,0
"PUBLIC SAFETY, ALASKA DEPT OF","CIELO MANAGEMENT GROUP, LLC",3771 Ward Loop Unit A Jber AK 99506-4663,AK-ANCHORAGE,203511,GRANT,92933.35,92933.35,0
"PUBLIC SAFETY, ALASKA DEPT OF",CITY & BOROUGH OF JUNEAU SCHOOL DISTRICT,10014 Crazy Horse Dr Juneau AK 99801-8529,AK-JUNEAU,,DIRECT,549382,549382,0
"PUBLIC SAFETY, ALASKA DEPT OF",CITY OF AKUTAN,PO BOX 109 Akutan AK 99553-0109,AK-ALEUTIANS EAST,20-CRF-005,GRANT,1888528.97,1299328.66,589200.31
"PUBLIC SAFETY, ALASKA DEPT OF",CITY OF ATKA,PO BOX 47070 Atka AK 99547-0070,AK-ALEUTIANS WEST,20-CRF-019,GRANT,90345.12,28998,61347.12
"PUBLIC SAFETY, ALASKA DEPT OF",CITY OF CHIGNIK,101 Main St Ste 110 Chignik AK 99564-9800,AK-LAKE AND PENINSULA,20-CRF-036,GRANT,148585.21,148585.21,0
"PUBLIC SAFETY, ALASKA DEPT OF",CITY OF FAIRBANKS,800 Cushman St Fairbanks AK 99701-4615,AK-FAIRBANKS NORTH STAR,20-CRF-065,GRANT,16005137.24,16005137.24,0
"PUBLIC SAFETY, ALASKA DEPT OF",CITY OF GOLOVIN,PO BOX 62059 Golovin AK 99762-6059,,20-CRF-075,GRANT,128218.18,35114.52,93103.66
"PUBLIC SAFETY, ALASKA DEPT OF",CITY OF HYDABURG,PO BOX 49 Hydaburg AK 99922-0049,AK-PRINCE OF WALES-HYDER,20-CRF-089,GRANT,241810.04,241810.04,0
"PUBLIC SAFETY, ALASKA DEPT OF",CITY OF KAKTOVIK,PO BOX 86 Kaktovik AK 99747-0086,AK-NORTH SLOPE,20-CRF-094,GRANT,155317.01,36718.44,118598.57
"PUBLIC SAFETY, ALASKA DEPT OF",CITY OF KETCHIKAN,334 Front St Ketchikan AK 99901-6431,AK-KETCHIKAN GATEWAY,20-CRF-101,GRANT,12281650.62,12281650.62,0
"PUBLIC SAFETY, ALASKA DEPT OF",CITY OF KIANA,PO BOX 150 Kiana AK 99749-0150,AK-NORTHWEST ARCTIC,20-CRF-103,GRANT,231247.35,219176.86,12070.49
"PUBLIC SAFETY, ALASKA DEPT OF",CITY OF KODIAK,710 Mill Bay Rd Kodiak AK 99615-6340,AK-KODIAK ISLAND,20-CRF-111,GRANT,11986902.51,11864915.89,121986.62
"PUBLIC SAFETY, ALASKA DEPT OF",CITY OF NORTH POLE,125 Snowman Ln North Pole AK 99705-7708,AK-FAIRBANKS NORTH STAR,20-CRF-149,GRANT,4063979.78,3573628.4,490351.38
"PUBLIC SAFETY, ALASKA DEPT OF",CITY OF PILOT POINT,PO BOX 430 Pilot Point AK 99649-0430,AK-LAKE AND PENINSULA,20-CRF-162,GRANT,810381.76,412940.55,397441.21
"PUBLIC SAFETY, ALASKA DEPT OF",CITY OF SOLDOTNA,177 N Birch St Soldotna AK 99669-7504,AK-KENAI PENINSULA,20-CRF-194,GRANT,7376315.8,7274719.38,101596.42
"PUBLIC SAFETY, ALASKA DEPT OF",CITY OF TELLER,PO BOX 545 Teller AK 99778-0545,AK-NOME,20-CRF-203,GRANT,214879.09,30274.27,184604.82
"PUBLIC SAFETY, ALASKA DEPT OF",CITY OF UNALASKA,PO BOX 610 Unalaska AK 99685-0610,AK-ALEUTIANS WEST,20-CRF-216,GRANT,13453952.01,13301680.98,152271.03
"PUBLIC SAFETY, ALASKA DEPT OF",CJ FISHERIES INC.,20700 44th Ave W Ste 210 Lynnwood WA 98036-7674,WA-SNOHOMISH,203392,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF","CLAPPER ENTERPRISES, INC.",3717 Minnesota Dr Anchorage AK 99503-5643,AK-ANCHORAGE,201997,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",CLARK FISHING LLC,27 Howard Rd Cathlamet WA 98612-9637,WA-WAHKIAKUM,200048,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF","CLARK'S POINT, CITY OF",PO BOX 110 Clarks Point AK 99569-0110,AK-DILLINGHAM,20-CRF-041,GRANT,92957.06,92957.06,0
"PUBLIC SAFETY, ALASKA DEPT OF","COFFMAN COVE, CITY OF",PO BOX 18047 Coffman Cove AK 99918-0047,AK-PRINCE OF WALES-HYDER,20-CRF-042,GRANT,129850.64,129850.64,0
"PUBLIC SAFETY, ALASKA DEPT OF",COHOE FISH CAMP,23031 Cohoe Loop Rd Kasilof AK 99610-9301,AK-KENAI PENINSULA,200847,GRANT,96719.67,96719.67,0
"PUBLIC SAFETY, ALASKA DEPT OF",COLBY'S FISHING,PO BOX 5042 Ketchikan AK 99901-0042,AK-KETCHIKAN GATEWAY,203600,GRANT,52429.69,52429.69,0
"PUBLIC SAFETY, ALASKA DEPT OF","COLD BAY, CITY OF",PO BOX 10 Cold Bay AK 99571-0010,AK-ALEUTIANS EAST,20-CRF-043,GRANT,107354.49,107354.49,0
"PUBLIC SAFETY, ALASKA DEPT OF",COLEMAN FISHING COMPANY,35565 Baronof St Kenai AK 99611-9644,AK-KENAI PENINSULA,202336,GRANT,69145.24,69145.24,0
"PUBLIC SAFETY, ALASKA DEPT OF",COLES CREEK LLC,PO BOX 314 Anchor Point AK 99556-0314,AK-KENAI PENINSULA,202023,GRANT,72200.29,72200.29,0
"PUBLIC SAFETY, ALASKA DEPT OF",COLONY CONSTRUCTION LLC,5140 N Farm Loop Palmer AK 99645-8115,AK-MATANUSKA-SUSITNA,200960,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",COLTON WALTERS,18237 Hidden Falls Ave Eagle River AK 99577-8532,AK-ANCHORAGE,202293,GRANT,64951.27,64951.27,0
"PUBLIC SAFETY, ALASKA DEPT OF",CONASKA LLC,2054 Arlington Dr N Anchorage AK 99517-1367,AK-ANCHORAGE,200512,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",CONCORD,PO BOX 910 Homer AK 99603-0910,AK-KENAI PENINSULA,203120,GRANT,61685.48,61685.48,0
"PUBLIC SAFETY, ALASKA DEPT OF",CONGREGATION BETH SHOLOM,7525 E Northern Lights Blvd Anchorage AK 99504-3552,AK-ANCHORAGE,,DIRECT,99200.00003,99200,0
"PUBLIC SAFETY, ALASKA DEPT OF",COOK INLET AQUACULTURE ASSOCIATION,40610 Kalifornsky Beach Rd Kenai AK 99611-6445,AK-KENAI PENINSULA,202960,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",COPPER RIVER FLATS FINEST SALMON,PO BOX 1181 Cordova AK 99574-1181,AK-VALDEZ CORDOVA,201315,GRANT,79726.55,79726.55,0
"PUBLIC SAFETY, ALASKA DEPT OF",COPPER RIVER TRADITION INC.,PO BOX 2186 Homer AK 99603-2186,AK-KENAI PENINSULA,202099,GRANT,75576.12,75576.12,0
"PUBLIC SAFETY, ALASKA DEPT OF",COPPER VALLEY COMMUNITY LIBRARY,PO BOX 173 Glennallen AK 99588-0173,AK-VALDEZ CORDOVA,20-CRF-073,GRANT,75000.00004,75000,0
"PUBLIC SAFETY, ALASKA DEPT OF",CORDOVA CHAMBER OF COMMERCE & VISITORS CENTER,PO BOX 734 Cordova AK 99574-0734,AK-VALDEZ CORDOVA,200192,GRANT,69705.08,69705.08,0
"PUBLIC SAFETY, ALASKA DEPT OF",CORDOVA COMMUNITY MEDICAL CENTER,PO BOX 160 Cordova AK 99574-0160,AK-VALDEZ CORDOVA,605-235-21002,GRANT,587094.76,587094.76,0
"PUBLIC SAFETY, ALASKA DEPT OF","CORDOVA, CITY OF",PO BOX 1210 Cordova AK 99574-1210,AK-VALDEZ CORDOVA,20-CRF-045,GRANT,3414908.44,3414908.44,0
"PUBLIC SAFETY, ALASKA DEPT OF","CORRAL NW, LLC",4520 Union Square Dr Anchorage AK 99503-7245,AK-ANCHORAGE,203440,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF","COSKEY ENTERTAINMENT, LLC",1230 E 68th Ave Ste 109 Anchorage AK 99518-2304,AK-ANCHORAGE,200258,GRANT,63579.07,63579.07,0
"PUBLIC SAFETY, ALASKA DEPT OF","COYOTE AIR,LLC",2199 Nottingham Dr Fairbanks AK 99709-6519,AK-FAIRBANKS NORTH STAR,202844,GRANT,52696.62,52696.62,0
"PUBLIC SAFETY, ALASKA DEPT OF","CRAIG, CITY OF",PO BOX 735 Craig AK 99921-0735,AK-PRINCE OF WALES-HYDER,20-CRF-046,GRANT,1772563.66,1772563.66,0
"PUBLIC SAFETY, ALASKA DEPT OF",CRAWFORD UNLIMITED INC,PO BOX 469 Sterling AK 99672-0469,AK-KENAI PENINSULA,202875,GRANT,90988.73,90988.73,0
"PUBLIC SAFETY, ALASKA DEPT OF",CREDIT UNION 1,1941 Abbott Rd Anchorage AK 99507-3448,AK-ANCHORAGE,20067,CONTRACT,86254622.27,86254622.27,0
"PUBLIC SAFETY, ALASKA DEPT OF",CREEKBEND COMPANY LLC,PO BOX 108 Hope AK 99605-0108,AK-KENAI PENINSULA,201347,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",CREEKWOOD ENTERPRISES LLC,2150 Seward Hwy Anchorage AK 99503-2217,AK-ANCHORAGE,201468,GRANT,61707.93,61707.93,0
"PUBLIC SAFETY, ALASKA DEPT OF","CRICHTON FISHERIES,INC.",318 Sundstrom Ln Friday Harbor WA 98250-7079,WA-SAN JUAN,203485,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",CWT FISHERIES INC.,59055 Meadow Ln Homer AK 99603-9419,AK-KENAI PENINSULA,202010,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",CYRANO'S THEATRE COMPANY,3800 Debarr Rd Anchorage AK 99508-2011,AK-ANCHORAGE,202414,GRANT,54279.66,54279.66,0
"PUBLIC SAFETY, ALASKA DEPT OF",DAIGLE BOATWORKS,1060 Eagle View Dr Homer AK 99603-9235,AK-KENAI PENINSULA,201789,GRANT,50208.57,50208.57,0
"PUBLIC SAFETY, ALASKA DEPT OF",DALE WADDELL II,930 Oak Point Rd Longview WA 98632-9749,WA-COWLITZ,200749,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",DALECO PLUMBING INC,64525 Pitzman Road Soldotna AK 99669,AK-KENAI PENINSULA,203479,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",DANIEL BEISHLINE,444 Washington St Bath ME 04530-1758,ME-SAGADAHOC,200882,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",DANIEL TARABOCHIA,7613 Elm Ct SE Olympia WA 98503-4477,WA-THURSTON,200385,GRANT,86946.72,86946.72,0
"PUBLIC SAFETY, ALASKA DEPT OF",DARRIN J ANDERSON,3290 S Lakeshore Loop Palmer AK 99645-9002,AK-MATANUSKA-SUSITNA,200025,GRANT,83913.64,83913.64,0
"PUBLIC SAFETY, ALASKA DEPT OF",DAVE A BARKER,126 E Fairview Ave Homer AK 99603-7546,AK-KENAI PENINSULA,200560,GRANT,56415.83,56415.83,0
"PUBLIC SAFETY, ALASKA DEPT OF","DAVID GREEN & SONS, INC",130 W 4th Ave Anchorage AK 99501-2510,AK-ANCHORAGE,202165,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",DAVID L KOPRA,PO BOX 99 Egegik AK 99579-0099,AK-LAKE AND PENINSULA,200862,GRANT,64491.92,64491.92,0
"PUBLIC SAFETY, ALASKA DEPT OF",DAVID MCKENZIE COMMERCIAL FISHERMAN,PO BOX 1304 Cordova AK 99574-1304,AK-VALDEZ CORDOVA,201979,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",DBA WILLIAM ALBECKER,PO BOX 495 King Salmon AK 99613-0495,AK-BRISTOL BAY,200534,GRANT,52309.61,52309.61,0
"PUBLIC SAFETY, ALASKA DEPT OF","DBLM, INC.",1506 Ocean Dr Homer AK 99603-7915,AK-KENAI PENINSULA,201514,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",DEERING,PO BOX 36049 Deering AK 99736-0049,AK-NORTHWEST ARCTIC,20-CRF-048,GRANT,151857.89,146264.76,5593.13
"PUBLIC SAFETY, ALASKA DEPT OF","DELTA JUNCTION, CITY OF",PO BOX 229 Delta Junction AK 99737-0229,AK-SOUTHEAST FAIRBANKS,20-CRF-049,GRANT,459280.99,426423.5,32857.49
"PUBLIC SAFETY, ALASKA DEPT OF",DELTANA COMMUNITY CORPORATION,PO BOX 907 Delta Junction AK 99737-0907,AK-SOUTHEAST FAIRBANKS,20-CRF-050,GRANT,75000.00004,0,75000
"PUBLIC SAFETY, ALASKA DEPT OF","DENALI ATV, INC",PO BOX 593 Healy AK 99743-0593,AK-DENALI,202369,GRANT,95558.6,95558.6,0
"PUBLIC SAFETY, ALASKA DEPT OF",DENALI BOROUGH,PO BOX 480 Healy AK 99743-0480,AK-DENALI,20-CRF-051,GRANT,3810934.43,3810934.43,0
"PUBLIC SAFETY, ALASKA DEPT OF",DENALI GIFT COMPANIES INC.,PO BOX 90 Denali Park AK 99755-0090,AK-DENALI,203438,GRANT,90317.95,90317.95,0
"PUBLIC SAFETY, ALASKA DEPT OF",DENALI GYMNASTICS AND FITNESS INC,300 E Kalli Cir Wasilla AK 99654-6486,AK-MATANUSKA-SUSITNA,,DIRECT,201094,201094,0
"PUBLIC SAFETY, ALASKA DEPT OF",DENALI PRETZELS LLC,5000 W Intl Airport Rd Anchorage AK 99502-0913,AK-ANCHORAGE,201982,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",DENALI VISIONS 3000 CORPORATION,PO BOX 107 Denali National Park AK 99755-0107,AK-DENALI,203598,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",DEPARTMENT OF ADMINISTRATION,PO BOX 110200 Juneau AK 99811-0200,AK-JUNEAU,,DIRECT,50629545.74,50629545.74,0
"PUBLIC SAFETY, ALASKA DEPT OF","DEPARTMENT OF COMMERCE, COMMUNITY, AND ECONOMIC DEVELOPMENT",PO BOX 110800 Juneau AK 99811-0800,AK-JUNEAU,,DIRECT,34650129.06,34650129.06,0
"PUBLIC SAFETY, ALASKA DEPT OF",DEPARTMENT OF CORRECTIONS,PO BOX 112000 Juneau AK 99811-2000,AK-JUNEAU,,DIRECT,17534536,17534536,0
"PUBLIC SAFETY, ALASKA DEPT OF",DEPARTMENT OF EDUCATION AND EARLY DEVELOPMENT,PO BOX 110500 Juneau AK 99811-0500,AK-JUNEAU,,DIRECT,3451759.57,3451759.57,0
"PUBLIC SAFETY, ALASKA DEPT OF",DEPARTMENT OF ENVIRONMENTAL CONSERVATION,PO BOX 111800 Juneau AK 99811-1800,AK-JUNEAU,,DIRECT,81988.01,81988.01,0
"PUBLIC SAFETY, ALASKA DEPT OF",DEPARTMENT OF HEALTH AND SOCIAL SERVICES,350 Main St Juneau AK 99801-1149,AK-JUNEAU,,DIRECT,39483617.73,39483617.73,0
"PUBLIC SAFETY, ALASKA DEPT OF",DEPARTMENT OF LABOR & WORKFORCE DEVELOPMENT,PO BOX 111149 Juneau AK 99811-1149,AK-JUNEAU,,DIRECT,213457.97,213457.97,0
"PUBLIC SAFETY, ALASKA DEPT OF",DEPARTMENT OF MILITARY AND VETERNAN'S AFFAIRS,PO BOX 110900 Juneau AK 99811-0900,AK-JUNEAU,,DIRECT,1922115.08,1922115.08,0
"PUBLIC SAFETY, ALASKA DEPT OF",DEPARTMENT OF NATURAL RESOURCES,550 W 7th Ave STE 1360 Anchorage AK 99501-3571,AK-ANCHORAGE,,DIRECT,2249304,2249304,0
"PUBLIC SAFETY, ALASKA DEPT OF",DEPARTMENT OF REVENUE,PO BOX 110400 Juneau AK 99811-0400,AK-JUNEAU,,DIRECT,453978.85,453978.85,0
"PUBLIC SAFETY, ALASKA DEPT OF",DEPARTMENT OF TRANSPORTATION & PUBLIC FACILITIES,3132 Channel Dr Juneau AK 99801-7814,AK-JUNEAU,,DIRECT,1176466.39,1176466.39,0
